dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,2,2,94.57,5.609999999999999,XGB,KGroups_max++,variance,False,0:02:53.161903,0:02:54.415330
CLL_SUB_111,10,8,66.67999999999999,8.77,XGB,KGroups_max++,variance,False,0:03:33.101964,0:03:34.629368
Carcinom,36,12,71.28999999999999,9.8,XGB,KGroups_max++,variance,False,0:04:28.583459,0:04:30.408400
GLIOMA,5,5,80.0,14.14,XGB,KGroups_max++,variance,False,0:03:04.127749,0:03:05.439634
GLI_85,6,6,92.94,9.67,XGB,KGroups_max++,variance,False,0:03:07.949635,0:03:09.319542
Prostate_GE,17,13,94.14,6.460000000000001,XGB,KGroups_max++,variance,False,0:03:13.199548,0:03:14.623292
SMK_CAN_187,6,5,65.69,11.79,XGB,KGroups_max++,variance,False,0:03:43.151414,0:03:44.799271
TOX_171,2,2,54.91,12.27,XGB,KGroups_max++,variance,False,0:04:01.599862,0:04:03.321058
colon,5,5,85.77,10.0,XGB,KGroups_max++,variance,False,0:02:56.166414,0:02:57.436732
leukemia,5,5,98.67,2.98,XGB,KGroups_max++,variance,False,0:02:54.323973,0:02:55.607938
lung,23,8,90.62,2.77,XGB,KGroups_max++,variance,False,0:03:57.578230,0:03:59.309765
lung_discrete,10,6,64.29,6.260000000000001,XGB,KGroups_max++,variance,False,0:03:22.078007,0:03:23.496688
lymphoma,10,6,73.0,7.27,XGB,KGroups_max++,variance,False,0:03:35.028978,0:03:36.513371
nci9,11,8,31.67,6.97,XGB,KGroups_max++,variance,False,0:03:30.838466,0:03:32.260792
