fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0043,0.0001,83.38,10.93,87.75,1.92,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0024,0.0,0.0018,0.0,85.28999999999999,10.71,88.24,2.82,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.1522,0.0003,0.0097,0.0001,80.47999999999999,9.48,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0227,0.0008,0.0038,0.0001,85.42999999999999,8.790000000000001,98.53,0.5599999999999999,XGB,2,2,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.1077,0.0003,0.0025,0.0001,87.33,9.83,87.99,2.36,MLP,2,2,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0022,0.0,0.0019,0.0,87.29,10.41,87.26,2.69,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0022,0.0001,0.0042,0.0001,88.33,8.82,88.25,3.25,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0024,0.0,0.0018,0.0,88.29,7.37,89.46,1.39,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.1515,0.0004,0.0096,0.0,85.33,6.75,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0236,0.0013,0.0039,0.0002,86.29,5.319999999999999,99.02,0.5499999999999999,XGB,3,3,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.1104,0.0007,0.0025,0.0,88.33,8.82,89.22,1.96,MLP,3,3,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0022,0.0,0.0018,0.0,90.19,6.99,88.97,1.47,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0022,0.0001,0.0041,0.0001,89.33,11.4,91.43,2.85,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0023,0.0,0.0018,0.0,89.24,9.19,90.93,2.22,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.1533,0.0006,0.0096,0.0,86.33,9.08,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0231,0.0008,0.004,0.0002,86.33,9.34,99.51,0.67,XGB,4,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.1106,0.0005,0.0025,0.0,88.33,10.41,90.2,3.1399999999999997,MLP,4,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0022,0.0001,0.0019,0.0,89.24,10.459999999999999,89.95,2.35,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0021,0.0001,0.0041,0.0001,86.38,11.110000000000001,86.28,3.1300000000000003,KNeighbors,5,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
0.0023,0.0,0.0018,0.0,87.38,10.0,88.49000000000001,3.26,LinearSVC,5,4,KGroups_max,gini_importance,False,0:03:19.191780,0:03:20.617416,Prostate_GE
