fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0001,0.0052,0.0001,61.41,10.43,74.72,3.27,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0026,0.0001,0.002,0.0,64.13,7.42,68.04,2.7,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.1617,0.0005,0.0102,0.0001,58.79,3.5000000000000004,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0343,0.0006,0.0042,0.0002,59.89,7.55,100.0,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.1365,0.0002,0.0026,0.0,66.77,7.61,70.71,2.7199999999999998,MLP,2,2,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0023,0.0001,0.0019,0.0,63.07000000000001,7.7700000000000005,70.32000000000001,1.78,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0024,0.0001,0.0053,0.0001,67.85,8.02,80.22,2.07,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0026,0.0001,0.0019,0.0001,71.61999999999999,8.66,72.46000000000001,1.63,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.1611,0.0003,0.0102,0.0001,69.52000000000001,10.03,99.72999999999999,0.37,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0348,0.0005,0.0044,0.0001,67.35,6.950000000000001,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.1432,0.0003,0.0026,0.0,71.64,7.91,75.13,2.3800000000000003,MLP,3,3,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0023,0.0,0.002,0.0,70.03,9.2,71.65,4.09,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0024,0.0,0.0053,0.0001,64.69,5.779999999999999,80.88,2.41,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0026,0.0001,0.002,0.0001,66.23,10.32,72.19,1.54,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.1676,0.0006,0.0102,0.0001,62.55,7.35,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0362,0.0008,0.0046,0.0001,59.89,6.3100000000000005,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.1458,0.0005,0.0026,0.0,68.38,9.74,77.81,2.16,MLP,4,4,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
0.0023,0.0001,0.0019,0.0,71.61999999999999,6.3,74.06,1.8800000000000001,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:18.386388,0:04:20.332190,SMK_CAN_187
