fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0038,0.0002,78.72,15.39,82.64,3.46,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0023,0.0,0.0018,0.0,82.05,13.86,82.65,3.4099999999999997,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.1473,0.0004,0.0095,0.0,77.05,14.030000000000001,84.66,2.4299999999999997,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0202,0.0014,0.0033,0.0002,78.72,11.52,84.66,2.4299999999999997,XGB,2,2,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0922,0.0003,0.0025,0.0,82.05,13.86,83.86,2.53,MLP,2,2,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0021,0.0,0.0018,0.0,82.05,13.86,83.86,2.53,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.002,0.0001,0.0037,0.0001,80.38,14.17,82.64,3.46,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0023,0.0,0.0018,0.0,82.05,13.86,82.65,3.4099999999999997,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.1474,0.0004,0.0093,0.0005,80.38,9.82,84.66,2.4299999999999997,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.021,0.0018,0.0034,0.0001,78.72,11.52,84.66,2.4299999999999997,XGB,3,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0935,0.0004,0.0025,0.0,82.05,13.86,83.86,2.53,MLP,3,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0021,0.0,0.0018,0.0,80.38,14.17,84.26,2.71,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0021,0.0001,0.0037,0.0001,77.05,14.030000000000001,85.07000000000001,2.39,KNeighbors,4,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0023,0.0001,0.0018,0.0,80.38,17.46,83.05,4.21,LinearSVC,4,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.1484,0.0002,0.0096,0.0001,80.51,7.7700000000000005,87.89,1.52,RandomForest,4,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0213,0.0009,0.0037,0.0002,75.38,16.99,87.49,1.81,XGB,4,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0942,0.0003,0.0025,0.0,80.38,17.46,87.09,1.8900000000000001,MLP,4,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0021,0.0,0.0018,0.0,82.05,13.86,83.86,2.53,GaussianNB,4,3,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0023,0.0001,0.0041,0.0001,80.38,14.17,87.09,1.82,KNeighbors,5,4,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.0026,0.0001,0.0021,0.0001,83.59,12.01,89.49000000000001,3.6999999999999997,LinearSVC,5,4,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
0.1519,0.0002,0.01,0.0001,83.72,8.51,97.58,0.89,RandomForest,5,4,KGroups_max,gini_importance,False,0:03:04.066082,0:03:05.460656,colon
