fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0002,0.0038,0.0001,28.33,4.5600000000000005,32.5,1.1400000000000001,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0026,0.0,0.0019,0.0,28.33,9.5,32.5,2.3800000000000003,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.1481,0.0002,0.0097,0.0001,31.669999999999998,6.97,37.92,1.7399999999999998,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0741,0.0011,0.0043,0.0001,31.669999999999998,6.97,37.92,1.7399999999999998,XGB,2,2,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0967,0.0003,0.0026,0.0,31.669999999999998,6.97,37.92,1.7399999999999998,MLP,2,2,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0026,0.0,0.002,0.0,33.33,5.89,34.17,1.8599999999999999,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0023,0.0001,0.004,0.0001,45.0,4.5600000000000005,45.83,2.55,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0026,0.0,0.0019,0.0001,40.0,6.97,47.08,1.1400000000000001,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.149,0.0003,0.0098,0.0,45.0,4.5600000000000005,48.33,0.9299999999999999,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0777,0.0027,0.0046,0.0002,35.0,6.97,47.5,2.2800000000000002,XGB,3,3,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0986,0.0002,0.0025,0.0001,40.0,6.97,48.33,0.9299999999999999,MLP,3,3,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0026,0.0001,0.0021,0.0001,35.0,13.69,41.67,5.3100000000000005,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0022,0.0001,0.0039,0.0001,31.669999999999998,9.13,55.00000000000001,6.0,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0027,0.0001,0.0019,0.0001,36.67,11.18,52.080000000000005,5.71,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.1509,0.0002,0.0098,0.0,35.0,10.870000000000001,63.74999999999999,2.8000000000000003,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0914,0.0018,0.0048,0.0001,31.669999999999998,10.870000000000001,63.33,2.3800000000000003,XGB,4,4,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.1014,0.0007,0.0025,0.0,33.33,13.18,61.67,4.32,MLP,4,4,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0026,0.0,0.0021,0.0,36.67,11.18,48.75,3.7800000000000002,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0022,0.0001,0.0041,0.0004,41.67,10.209999999999999,52.5,3.09,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0028,0.0,0.002,0.0,43.33,10.870000000000001,59.58,3.7800000000000002,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.1505,0.0005,0.0098,0.0,35.0,10.870000000000001,67.92,1.8599999999999999,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
0.0897,0.0014,0.0049,0.0001,36.67,9.5,67.92,1.8599999999999999,XGB,5,5,KGroups_max,gini_importance,False,0:03:41.244769,0:03:42.685837,nci9
