fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0046,0.0001,63.580000000000005,12.8,80.88,2.34,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0023,0.0,0.0018,0.0,72.76,11.08,75.67,3.11,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.155,0.0005,0.0096,0.0,66.79,9.49,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0304,0.0009,0.0036,0.0001,67.84,9.02,100.0,0.0,XGB,2,2,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1313,0.0046,0.0024,0.0001,71.65,8.77,75.66000000000001,3.05,MLP,2,2,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0023,0.0,0.0019,0.0,70.04,14.34,74.6,2.07,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0024,0.0,0.0052,0.0001,66.81,11.87,81.81,3.02,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0026,0.0001,0.002,0.0,69.56,13.74,75.4,2.63,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1575,0.0005,0.01,0.0,72.15,13.889999999999999,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0327,0.0011,0.0043,0.0001,73.74000000000001,16.1,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1393,0.0003,0.0025,0.0,69.56,12.280000000000001,78.88,1.54,MLP,3,3,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0023,0.0001,0.0019,0.0,67.41,16.259999999999998,72.06,1.97,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0024,0.0,0.0052,0.0001,67.30000000000001,12.2,80.08,3.4799999999999995,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0025,0.0001,0.0019,0.0,71.07,10.65,75.4,2.39,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1649,0.0009,0.0099,0.0001,72.11,16.12,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0345,0.0018,0.0045,0.0002,67.84,17.16,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1434,0.0003,0.0026,0.0,71.58,13.850000000000001,77.8,2.8400000000000003,MLP,4,4,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0023,0.0001,0.0019,0.0,67.91,14.580000000000002,73.11999999999999,2.81,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0024,0.0,0.0052,0.0001,66.22,13.8,78.61,3.37,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0026,0.0001,0.002,0.0,70.0,11.62,75.53,2.5700000000000003,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1647,0.0008,0.01,0.0001,69.47,17.86,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0359,0.001,0.0047,0.0001,66.75999999999999,12.08,100.0,0.0,XGB,5,5,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1445,0.0005,0.0026,0.0,68.92,12.920000000000002,79.14,3.37,MLP,5,5,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0022,0.0,0.0019,0.0,70.03,12.16,74.07000000000001,2.83,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0024,0.0,0.0052,0.0001,70.0,6.09,81.69,1.8599999999999999,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0026,0.0001,0.002,0.0,68.45,14.93,75.0,2.92,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.165,0.0006,0.01,0.0001,68.45,10.14,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0376,0.0011,0.005,0.0,71.08,7.66,100.0,0.0,XGB,6,6,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1455,0.0008,0.0026,0.0,68.97999999999999,9.04,81.55,1.18,MLP,6,6,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0023,0.0,0.002,0.0,69.52000000000001,18.63,73.4,3.36,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0025,0.0,0.0053,0.0001,67.38,10.93,81.15,1.8599999999999999,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0027,0.0001,0.002,0.0,69.0,15.82,74.72999999999999,1.72,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1658,0.0007,0.01,0.0001,67.91,17.59,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.039,0.0013,0.0052,0.0001,66.84,10.89,100.0,0.0,XGB,7,7,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1475,0.0008,0.0027,0.0001,66.88,12.629999999999999,81.42,1.87,MLP,7,7,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0023,0.0001,0.002,0.0,68.44,17.97,71.53,4.12,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0025,0.0,0.0053,0.0001,64.07000000000001,19.11,79.27,2.93,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0027,0.0001,0.002,0.0001,69.49,13.389999999999999,76.73,3.9600000000000004,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1655,0.0007,0.0101,0.0001,68.42,14.44,100.0,0.0,RandomForest,8,8,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0392,0.0006,0.0054,0.0001,66.23,14.899999999999999,100.0,0.0,XGB,8,8,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.1486,0.0003,0.0026,0.0,70.0,13.469999999999999,82.61,2.12,MLP,8,8,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
0.0024,0.0001,0.002,0.0,68.44,18.37,75.27000000000001,2.68,GaussianNB,8,8,KGroups_max++,mutual_info,False,0:04:39.835588,0:04:41.855965,SMK_CAN_187
