fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0044,0.0001,55.16,5.140000000000001,57.550000000000004,1.25,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0027,0.0001,0.002,0.0001,55.16,8.24,58.589999999999996,2.25,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.1509,0.0005,0.0098,0.0001,52.0,7.39,61.45,2.86,RandomForest,2,2,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0884,0.0028,0.0043,0.0001,54.0,10.71,61.45,2.86,XGB,2,2,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.108,0.0006,0.0025,0.0,53.05,6.93,60.150000000000006,2.55,MLP,2,2,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0027,0.0,0.0022,0.0,36.53,14.09,37.230000000000004,12.0,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0024,0.0,0.0045,0.0001,53.11,6.529999999999999,58.330000000000005,1.6099999999999999,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0028,0.0001,0.002,0.0001,60.419999999999995,10.85,62.239999999999995,2.67,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.1518,0.0002,0.0099,0.0001,47.79,8.21,70.3,3.3300000000000005,RandomForest,3,3,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0938,0.0022,0.0044,0.0001,54.11,10.38,69.78,2.91,XGB,3,3,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.1099,0.0005,0.0025,0.0,58.209999999999994,11.55,66.4,2.52,MLP,3,3,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0026,0.0,0.002,0.0,41.79,12.7,47.410000000000004,7.380000000000001,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0023,0.0001,0.0043,0.0001,63.53,0.8200000000000001,73.18,2.63,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0029,0.0001,0.002,0.0001,66.67999999999999,9.44,76.57000000000001,2.39,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.1522,0.0006,0.0098,0.0001,71.78999999999999,5.12,89.32,0.5700000000000001,RandomForest,4,4,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
0.0876,0.0013,0.0046,0.0001,73.89,4.1000000000000005,89.32,0.5700000000000001,XGB,4,4,KGroups_max++,mutual_info,False,0:04:07.941638,0:04:09.638088,lymphoma
