fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0041,0.0001,87.24,7.59,91.42,1.73,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.0023,0.0,0.0018,0.0,86.29,8.110000000000001,90.44,1.38,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.151,0.0007,0.0096,0.0,93.14,5.66,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.0207,0.001,0.0035,0.0001,91.10000000000001,6.59,98.77,0.01,XGB,2,2,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.1075,0.0006,0.0025,0.0001,90.29,6.83,91.91,1.8900000000000001,MLP,2,2,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.0021,0.0,0.0018,0.0,90.29,6.83,90.68,2.06,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.0021,0.0001,0.0041,0.0001,85.42999999999999,10.71,92.65,2.87,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.0023,0.0,0.0018,0.0,90.24,4.83,91.67,3.8,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.1514,0.0007,0.0096,0.0001,90.24,9.139999999999999,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
0.0212,0.001,0.0036,0.0002,89.19,5.53,98.04,1.0999999999999999,XGB,3,3,KGroups_max,mutual_info,False,0:03:27.195713,0:03:28.662363,Prostate_GE
