fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0025,0.0,0.0055,0.0001,82.24000000000001,3.7800000000000002,85.84,1.0,KNeighbors,2,2,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0028,0.0001,0.002,0.0001,82.76,2.48,83.5,0.7100000000000001,LinearSVC,2,2,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1638,0.0008,0.0103,0.0001,80.73,5.6000000000000005,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0783,0.0024,0.0045,0.0001,79.27,5.59,100.0,0.0,XGB,2,2,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1439,0.0002,0.0026,0.0001,83.72,2.97,85.47,0.97,MLP,2,2,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0001,0.002,0.0,84.7,5.43,86.57000000000001,1.5599999999999998,GaussianNB,2,2,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0,0.0056,0.0001,81.26,5.18,86.21,0.7000000000000001,KNeighbors,3,3,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0029,0.0001,0.002,0.0001,80.28,1.9300000000000002,81.28,0.58,LinearSVC,3,3,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.163,0.0001,0.0103,0.0,81.74,5.7700000000000005,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0791,0.0016,0.0047,0.0001,77.8,3.27,100.0,0.0,XGB,3,3,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1483,0.0005,0.0026,0.0,82.76,1.7399999999999998,85.47,0.7100000000000001,MLP,3,3,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0024,0.0001,0.002,0.0,81.77,5.08,85.71,1.03,GaussianNB,3,3,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0,0.0054,0.0,81.77,2.23,87.31,1.51,KNeighbors,4,4,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0029,0.0001,0.002,0.0001,84.73,2.67,85.22,1.0,LinearSVC,4,4,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1685,0.0007,0.0101,0.0001,83.71,5.24,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0742,0.0017,0.0049,0.0001,83.16,9.04,100.0,0.0,XGB,4,4,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1518,0.0014,0.0026,0.0,86.68,6.419999999999999,88.55,1.5,MLP,4,4,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0001,0.002,0.0,85.21,4.66,90.02,2.04,GaussianNB,4,4,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0001,0.0055,0.0,87.2,7.82,91.86999999999999,1.3299999999999998,KNeighbors,5,5,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.003,0.0001,0.002,0.0001,84.26,4.0,87.56,1.81,LinearSVC,5,5,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1687,0.0008,0.0102,0.0,87.71,7.71,100.0,0.0,RandomForest,5,5,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.073,0.0037,0.005,0.0001,87.7,3.8600000000000003,100.0,0.0,XGB,5,5,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1545,0.0003,0.0026,0.0,86.22,5.89,92.0,1.1400000000000001,MLP,5,5,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0,0.0021,0.0,90.63,5.01,92.24,1.13,GaussianNB,5,5,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0,0.0056,0.0001,88.17,2.73,91.01,0.95,KNeighbors,6,6,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0031,0.0001,0.0021,0.0001,84.22,2.33,87.44,0.84,LinearSVC,6,6,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1686,0.0007,0.0102,0.0,84.2,3.9600000000000004,100.0,0.0,RandomForest,6,6,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0796,0.0023,0.0052,0.0001,83.71,4.93,100.0,0.0,XGB,6,6,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1545,0.0005,0.0027,0.0001,90.11,5.83,91.38,0.89,MLP,6,6,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0,0.0021,0.0,38.440000000000005,8.06,41.5,2.86,GaussianNB,6,6,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0001,0.0055,0.0002,86.18,4.2,88.79,1.87,KNeighbors,7,7,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0032,0.0001,0.0021,0.0001,84.21,3.01,87.19,0.51,LinearSVC,7,7,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1672,0.0007,0.0102,0.0001,85.21,3.1300000000000003,100.0,0.0,RandomForest,7,7,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0789,0.0023,0.0054,0.0001,82.22,5.53,100.0,0.0,XGB,7,7,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1561,0.0005,0.0027,0.0002,87.17,2.81,91.75,1.05,MLP,7,7,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0001,0.002,0.0001,82.73,4.760000000000001,87.07000000000001,3.25,GaussianNB,7,7,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0,0.0055,0.0001,87.68,2.48,90.14999999999999,0.77,KNeighbors,8,8,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0032,0.0001,0.002,0.0001,86.22999999999999,3.61,89.4,1.79,LinearSVC,8,8,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1702,0.0005,0.0102,0.0001,88.66000000000001,3.82,100.0,0.0,RandomForest,8,8,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0805,0.0049,0.0056,0.0001,85.68,3.81,100.0,0.0,XGB,8,8,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.1566,0.0005,0.0026,0.0001,88.66000000000001,2.87,92.61,0.76,MLP,8,8,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0025,0.0001,0.002,0.0,87.15,5.19,91.13,1.5599999999999998,GaussianNB,8,8,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
0.0026,0.0,0.0056,0.0001,84.73,4.36,88.05,1.13,KNeighbors,9,9,KGroups_max,mutual_info,False,0:05:15.287308,0:05:17.583616,lung
