fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0039,0.0002,85.88,9.84,91.18,2.55,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0024,0.0001,0.0018,0.0,92.94,4.92,92.06,1.68,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.1515,0.0003,0.0096,0.0002,85.88,12.2,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0197,0.0008,0.0034,0.0001,85.88,9.84,97.35000000000001,0.66,XGB,2,2,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.1029,0.0005,0.0024,0.0001,88.24,7.199999999999999,92.06,1.97,MLP,2,2,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0021,0.0,0.0018,0.0,87.06,7.670000000000001,89.71000000000001,2.33,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0021,0.0001,0.004,0.0001,88.24,5.88,90.59,1.68,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0023,0.0,0.0018,0.0,87.06,7.670000000000001,90.88000000000001,1.6099999999999999,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.1512,0.0005,0.0096,0.0001,84.71,7.89,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0201,0.0005,0.0036,0.0001,88.24,4.16,99.11999999999999,0.8099999999999999,XGB,3,3,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.1045,0.0003,0.0024,0.0001,88.24,9.3,91.18,1.04,MLP,3,3,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0021,0.0,0.0019,0.0,88.24,9.3,88.53,2.18,GaussianNB,3,3,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0021,0.0001,0.0039,0.0001,90.59,3.2199999999999998,92.06,1.68,KNeighbors,4,4,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0024,0.0001,0.0018,0.0,92.94,2.63,92.35,0.66,LinearSVC,4,4,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.152,0.0006,0.0093,0.0004,89.41,4.92,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0207,0.0004,0.0041,0.0001,91.75999999999999,5.26,98.82,0.66,XGB,4,4,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.1075,0.0004,0.0024,0.0001,90.59,3.2199999999999998,93.24,1.97,MLP,4,4,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0023,0.0001,0.0019,0.0,89.41,2.63,89.71000000000001,1.04,GaussianNB,4,4,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0022,0.0001,0.0041,0.0001,91.75999999999999,5.26,92.94,1.6099999999999999,KNeighbors,5,5,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0025,0.0,0.0019,0.0,90.59,5.26,92.35,2.42,LinearSVC,5,5,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.1545,0.001,0.0097,0.0001,89.41,4.92,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
0.0223,0.0007,0.004,0.0001,87.06,2.63,97.94,0.8099999999999999,XGB,5,5,KGroups_max,Fvalue,False,0:03:22.127513,0:03:23.716902,GLI_85
