fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.004,0.0001,95.89999999999999,6.02,98.27,1.22,KNeighbors,2,2,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0024,0.0,0.0019,0.0,91.71000000000001,5.79,93.42,3.93,LinearSVC,2,2,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.1499,0.0007,0.0094,0.0005,98.67,2.98,98.61,0.77,RandomForest,2,2,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0173,0.0005,0.0036,0.0001,97.33000000000001,5.96,98.61,0.77,XGB,2,2,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.097,0.0008,0.0022,0.0,95.89999999999999,6.02,98.61,0.77,MLP,2,2,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0021,0.0,0.0018,0.0,93.14,4.72,94.11,4.16,GaussianNB,2,2,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0021,0.0001,0.0038,0.0001,93.24,8.17,96.52,1.7500000000000002,KNeighbors,3,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0023,0.0001,0.0018,0.0,93.14,6.909999999999999,96.19,2.8400000000000003,LinearSVC,3,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.1483,0.0004,0.0091,0.0006,98.67,2.98,98.61,0.77,RandomForest,3,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0178,0.0005,0.0037,0.0001,97.33000000000001,5.96,98.61,0.77,XGB,3,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0973,0.0003,0.0022,0.0,97.24000000000001,3.7900000000000005,98.61,0.77,MLP,3,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0022,0.0,0.0019,0.0,94.57,5.609999999999999,95.84,3.1399999999999997,GaussianNB,3,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0022,0.0001,0.004,0.0001,93.24,8.17,96.52,1.7500000000000002,KNeighbors,4,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0024,0.0,0.0019,0.0001,93.14,6.909999999999999,96.19,2.8400000000000003,LinearSVC,4,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.1502,0.0009,0.009,0.0006,98.67,2.98,98.61,0.77,RandomForest,4,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
0.0182,0.0003,0.0038,0.0001,97.33000000000001,5.96,98.61,0.77,XGB,4,3,KGroups_max,Fvalue,False,0:02:56.876389,0:02:58.284282,leukemia
