dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,22,22,98.57,3.19,LinearSVC,KGroups_max++,entropy,False,0:03:13.092718,0:03:14.503719
CLL_SUB_111,2,2,48.5,11.95,LinearSVC,KGroups_max++,entropy,False,0:03:18.385408,0:03:19.825156
Carcinom,97,97,95.39,3.27,LinearSVC,KGroups_max++,entropy,False,0:05:45.470165,0:05:47.809973
GLIOMA,2,2,84.0,8.94,LinearSVC,KGroups_max++,entropy,False,0:03:25.410368,0:03:26.857833
GLI_85,2,2,69.41000000000001,8.72,LinearSVC,KGroups_max++,entropy,False,0:03:03.728749,0:03:05.037484
Prostate_GE,2,2,92.19,6.550000000000001,LinearSVC,KGroups_max++,entropy,False,0:03:38.026795,0:03:39.585421
SMK_CAN_187,35,34,64.74,11.61,LinearSVC,KGroups_max++,entropy,False,0:04:45.064647,0:04:47.084101
TOX_171,8,7,56.76,6.39,LinearSVC,KGroups_max++,entropy,False,0:04:13.781567,0:04:15.578022
colon,52,38,88.33,16.24,LinearSVC,KGroups_max++,entropy,False,0:03:13.335311,0:03:14.727566
leukemia,32,32,100.0,0.0,LinearSVC,KGroups_max++,entropy,False,0:03:10.524753,0:03:11.868346
lung,71,71,95.57,4.390000000000001,LinearSVC,KGroups_max++,entropy,False,0:05:08.064150,0:05:10.238887
lung_discrete,28,27,87.71,11.23,LinearSVC,KGroups_max++,entropy,False,0:03:42.899948,0:03:44.487673
lymphoma,64,55,92.79,7.779999999999999,LinearSVC,KGroups_max++,entropy,False,0:04:06.912338,0:04:08.650260
nci9,38,38,65.0,6.97,LinearSVC,KGroups_max++,entropy,False,0:03:58.085337,0:03:59.736088
