dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,3,3,95.81,3.83,XGB,KGroups_max,gini_importance,False,0:03:02.485717,0:03:04.045770
CLL_SUB_111,83,32,86.4,7.249999999999999,XGB,KGroups_max,gini_importance,False,0:03:41.850257,0:03:43.705211
Carcinom,52,34,86.2,5.87,XGB,KGroups_max,gini_importance,False,0:05:01.047766,0:05:03.363365
GLIOMA,100,40,88.0,13.04,XGB,KGroups_max,gini_importance,False,0:03:14.453933,0:03:16.033903
GLI_85,21,11,94.12,5.88,XGB,KGroups_max,gini_importance,False,0:03:10.444209,0:03:11.951303
Prostate_GE,27,13,93.14,9.6,XGB,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944
SMK_CAN_187,82,35,75.42,8.23,XGB,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157
TOX_171,86,32,73.71,5.27,XGB,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958
colon,15,7,86.92,7.670000000000001,XGB,KGroups_max,gini_importance,False,0:02:58.062620,0:02:59.485485
leukemia,32,12,100.0,0.0,XGB,KGroups_max,gini_importance,False,0:02:58.699798,0:03:00.130084
lung,19,13,95.07,3.47,XGB,KGroups_max,gini_importance,False,0:04:20.841619,0:04:22.832799
lung_discrete,67,24,88.86,8.129999999999999,XGB,KGroups_max,gini_importance,False,0:03:26.008324,0:03:27.561798
lymphoma,86,41,90.68,5.56,XGB,KGroups_max,gini_importance,False,0:03:46.876040,0:03:48.576171
nci9,78,25,70.0,9.5,XGB,KGroups_max,gini_importance,False,0:03:34.680089,0:03:36.265501
