fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0045,0.0001,90.24,6.78,90.93,2.22,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0026,0.0001,0.002,0.0001,88.29,7.37,90.93,1.0999999999999999,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1535,0.0003,0.0099,0.0001,87.29,8.75,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0224,0.0008,0.0041,0.0002,85.38,6.75,98.28,1.09,XGB,2,2,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1089,0.0002,0.0026,0.0,89.24,8.01,90.93,1.43,MLP,2,2,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0023,0.0001,0.002,0.0,89.24,8.01,90.2,2.25,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0024,0.0,0.0046,0.0001,88.29,10.040000000000001,92.41,2.77,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0026,0.0001,0.002,0.0001,91.19,8.12,92.89,2.01,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1543,0.0005,0.0097,0.0005,87.33,8.74,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0227,0.0008,0.0043,0.0001,88.33,8.82,99.27,0.67,XGB,3,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1096,0.0005,0.0026,0.0,90.24,9.139999999999999,93.14,1.8499999999999999,MLP,3,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0023,0.0,0.002,0.0,92.14,8.95,91.91,1.8599999999999999,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0024,0.0,0.0045,0.0001,88.29,10.040000000000001,92.41,2.77,KNeighbors,4,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0026,0.0001,0.002,0.0,91.19,8.12,92.89,2.01,LinearSVC,4,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1537,0.0004,0.0099,0.0,87.33,8.74,100.0,0.0,RandomForest,4,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0229,0.0011,0.0043,0.0001,88.33,8.82,99.27,0.67,XGB,4,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1097,0.0004,0.0026,0.0,90.24,9.139999999999999,93.14,1.8499999999999999,MLP,4,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0023,0.0,0.002,0.0,92.14,8.95,91.91,1.8599999999999999,GaussianNB,4,3,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0024,0.0,0.0045,0.0001,88.24,7.3999999999999995,92.65,2.44,KNeighbors,5,4,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.0026,0.0001,0.002,0.0001,91.19,8.12,93.38,2.06,LinearSVC,5,4,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1558,0.0006,0.0099,0.0,86.33,7.89,100.0,0.0,RandomForest,5,4,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.023,0.0007,0.0044,0.0002,90.19,7.08,99.02,0.5499999999999999,XGB,5,4,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
0.1113,0.0006,0.0026,0.0,91.19,10.0,93.63,1.82,MLP,5,4,KGroups_max++,gini_importance,False,0:03:15.377909,0:03:16.799771,Prostate_GE
