fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0041,0.0002,86.38,10.36,88.73,3.1399999999999997,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0023,0.0001,0.0018,0.0,88.33,10.03,89.22,2.16,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.1525,0.0009,0.0087,0.0004,85.38,9.71,99.27,0.67,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0221,0.0009,0.0034,0.0001,84.38,10.459999999999999,97.55,1.49,XGB,2,2,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.1058,0.0027,0.0023,0.0001,87.38,11.57,88.48,2.21,MLP,2,2,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0021,0.0,0.0019,0.0,86.33,9.98,87.75,3.09,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0021,0.0001,0.0041,0.0001,91.14,8.09,93.13,2.25,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0023,0.0001,0.0019,0.0,92.10000000000001,8.34,92.64,3.01,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.1539,0.0004,0.0086,0.0001,92.14,8.95,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0216,0.001,0.0038,0.0001,88.29,8.18,98.04,1.0999999999999999,XGB,3,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.1122,0.0005,0.0022,0.0,92.10000000000001,10.35,93.62,1.6199999999999999,MLP,3,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0022,0.0,0.0019,0.0,93.10000000000001,8.33,92.89,2.37,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0022,0.0,0.0043,0.0001,86.38,11.110000000000001,87.75,2.82,KNeighbors,4,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0024,0.0,0.0019,0.0001,86.42999999999999,11.450000000000001,88.24,2.78,LinearSVC,4,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.153,0.0013,0.009,0.0006,81.47999999999999,8.49,100.0,0.0,RandomForest,4,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0227,0.0008,0.0036,0.0001,82.43,5.27,98.53,1.02,XGB,4,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.1106,0.0005,0.0022,0.0,86.42999999999999,11.450000000000001,88.49000000000001,2.8000000000000003,MLP,4,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0021,0.0,0.0018,0.0,85.38,9.71,87.51,2.46,GaussianNB,4,3,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0021,0.0001,0.0041,0.0002,87.33,11.03,91.42,3.1199999999999997,KNeighbors,5,4,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0024,0.0001,0.0019,0.0,89.24,11.04,91.18,1.58,LinearSVC,5,4,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.1537,0.0005,0.0087,0.0005,87.29,7.180000000000001,100.0,0.0,RandomForest,5,4,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0228,0.0008,0.0038,0.0001,85.33,7.62,99.76,0.5499999999999999,XGB,5,4,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.111,0.0004,0.0022,0.0,89.24,10.459999999999999,91.67,2.8000000000000003,MLP,5,4,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0022,0.0001,0.0019,0.0001,89.24,10.459999999999999,90.45,2.64,GaussianNB,5,4,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
0.0022,0.0001,0.0043,0.0004,91.10000000000001,9.610000000000001,92.15,2.55,KNeighbors,6,4,KGroups_max,gini_importance,False,0:03:11.753063,0:03:13.237944,Prostate_GE
