fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0,0.005,0.0001,67.84,8.17,76.87,1.9800000000000002,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0024,0.0,0.0019,0.0,70.55,7.430000000000001,70.19,1.44,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1608,0.0013,0.0098,0.0002,65.23,5.41,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0318,0.0008,0.0036,0.0001,61.47,6.94,100.0,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1366,0.0004,0.0023,0.0001,70.57,5.4,72.06,0.76,MLP,2,2,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.0019,0.0001,70.03,7.93,71.12,1.9,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.0049,0.0002,70.0,5.46,79.41,2.15,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0024,0.0001,0.0018,0.0,68.93,7.6499999999999995,72.05,2.15,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1594,0.0008,0.0099,0.0002,63.580000000000005,5.94,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0332,0.0008,0.0039,0.0001,59.86,4.17,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1421,0.0006,0.0022,0.0001,69.47,7.19,74.72999999999999,2.65,MLP,3,3,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.0019,0.0001,69.47,6.67,70.72,2.12,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.0049,0.0002,70.53,11.0,78.61,1.0999999999999999,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0024,0.0001,0.0019,0.0,68.96,6.2,74.46000000000001,1.54,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1649,0.0005,0.0096,0.0005,68.39,6.1,99.87,0.3,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0342,0.0008,0.004,0.0001,65.14999999999999,10.14,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.143,0.0005,0.0024,0.0001,69.47,6.87,78.48,1.24,MLP,4,4,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.0019,0.0,71.61,8.870000000000001,73.92999999999999,2.25,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.0049,0.0001,67.31,8.57,78.86999999999999,2.64,KNeighbors,5,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0024,0.0001,0.0019,0.0,67.92,4.84,72.86,1.39,LinearSVC,5,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1654,0.0002,0.0098,0.0002,66.24,5.9799999999999995,100.0,0.0,RandomForest,5,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0358,0.0002,0.0042,0.0001,65.75,4.24,100.0,0.0,XGB,5,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1463,0.0004,0.0025,0.0,71.61,5.79,79.54,2.4699999999999998,MLP,5,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0023,0.0,0.0019,0.0,71.04,11.43,73.8,2.5,GaussianNB,5,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0023,0.0,0.0051,0.0001,69.49,5.07,78.2,2.03,KNeighbors,6,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0025,0.0001,0.0019,0.0,67.31,9.700000000000001,72.59,2.48,LinearSVC,6,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1675,0.0005,0.0096,0.0006,68.41000000000001,5.779999999999999,100.0,0.0,RandomForest,6,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0359,0.0005,0.0044,0.0001,70.04,3.0300000000000002,100.0,0.0,XGB,6,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.1463,0.0017,0.0023,0.0,71.04,8.63,79.01,2.16,MLP,6,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.0019,0.0,70.0,7.140000000000001,72.99,2.19,GaussianNB,6,5,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0022,0.0001,0.005,0.0002,70.5,15.1,79.67,3.8899999999999997,KNeighbors,7,6,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
0.0024,0.0001,0.0019,0.0,67.31,13.48,75.53,3.1399999999999997,LinearSVC,7,6,KGroups_max,gini_importance,False,0:04:05.043670,0:04:06.921157,SMK_CAN_187
