fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0045,0.0001,45.58,13.07,60.67,2.53,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0024,0.0,0.0018,0.0001,52.59,10.47,55.55,3.08,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.158,0.0005,0.0088,0.0007,46.2,10.879999999999999,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0781,0.0033,0.0033,0.0001,42.64,9.06,100.0,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.1299,0.0004,0.0021,0.0001,52.62,8.72,57.02,2.69,MLP,2,2,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0022,0.0001,0.0019,0.0001,49.7,8.72,57.31,2.02,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0021,0.0001,0.0045,0.0001,44.97,9.92,63.739999999999995,1.53,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0024,0.0,0.0018,0.0001,50.839999999999996,11.63,56.14,2.06,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.1579,0.0008,0.0086,0.0007,49.65,6.15,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0749,0.005,0.0034,0.0001,48.52,5.5,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.1326,0.0005,0.0021,0.0001,49.08,9.229999999999999,60.67,0.86,MLP,3,3,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0022,0.0,0.0018,0.0,53.75,6.0600000000000005,56.720000000000006,1.25,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0021,0.0001,0.0045,0.0001,50.2,13.11,68.42,3.62,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0025,0.0,0.0018,0.0001,56.120000000000005,7.340000000000001,61.11,2.44,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.164,0.0008,0.0085,0.0007,47.93,7.75,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.076,0.0034,0.0036,0.0001,43.82,8.72,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.1326,0.0004,0.0021,0.0001,53.800000000000004,6.370000000000001,62.57,3.1,MLP,4,4,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0022,0.0,0.0019,0.0,47.9,11.700000000000001,60.08,2.85,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0021,0.0001,0.0046,0.0001,51.35999999999999,12.2,68.12,4.24,KNeighbors,5,5,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
0.0025,0.0,0.0019,0.0,56.67,11.08,64.75999999999999,3.65,LinearSVC,5,5,KGroups_max,gini_importance,False,0:04:23.729377,0:04:25.734958,TOX_171
