fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.004,0.0001,90.59,3.2199999999999998,91.75999999999999,1.97,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0,0.0018,0.0,89.41,2.63,89.71000000000001,1.04,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.151,0.0009,0.0096,0.0,87.06,2.63,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0207,0.0005,0.0037,0.0001,87.06,4.92,97.65,1.32,XGB,2,2,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1014,0.0002,0.0024,0.0,89.41,2.63,90.29,0.8099999999999999,MLP,2,2,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0021,0.0,0.0018,0.0,87.06,2.63,87.35000000000001,0.8099999999999999,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0022,0.0001,0.004,0.0001,88.24,4.16,90.0,2.83,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0024,0.0001,0.0018,0.0,87.06,7.670000000000001,89.41,1.23,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1506,0.0001,0.0084,0.0001,90.59,8.92,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0209,0.0006,0.0038,0.0001,90.59,6.710000000000001,98.53,1.04,XGB,3,3,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1028,0.0002,0.0024,0.0,90.59,6.710000000000001,90.59,1.68,MLP,3,3,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0021,0.0,0.0018,0.0,87.06,4.92,87.94,2.83,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0021,0.0001,0.0038,0.0001,88.24,5.88,92.35,2.63,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0,0.0018,0.0,89.41,2.63,89.71000000000001,1.04,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1516,0.0004,0.0085,0.0005,88.24,0.0,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0206,0.0003,0.0036,0.0001,87.06,2.63,99.11999999999999,0.8099999999999999,XGB,4,4,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1044,0.0003,0.0024,0.0,88.24,4.16,90.59,0.8099999999999999,MLP,4,4,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0021,0.0001,0.0018,0.0,82.35,4.16,85.59,1.6099999999999999,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.002,0.0001,0.0038,0.0001,88.24,4.16,89.71000000000001,1.7999999999999998,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0,0.0018,0.0,89.41,2.63,90.0,1.23,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1512,0.0003,0.009,0.0006,91.75999999999999,3.2199999999999998,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0213,0.0006,0.0038,0.0001,90.59,3.2199999999999998,98.82,0.66,XGB,5,5,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1058,0.0012,0.0025,0.0001,90.59,5.26,92.35,1.23,MLP,5,5,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0,0.002,0.0,84.71,10.69,84.71,3.05,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0025,0.0,0.0045,0.0002,90.59,3.2199999999999998,92.35,1.23,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0027,0.0001,0.0021,0.0001,87.06,6.4399999999999995,91.75999999999999,0.8099999999999999,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1548,0.0008,0.009,0.0005,92.94,2.63,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0232,0.0008,0.0048,0.0,90.59,5.26,98.82,0.66,XGB,6,6,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1085,0.0003,0.0026,0.0,87.06,4.92,91.75999999999999,0.8099999999999999,MLP,6,6,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0,0.002,0.0,85.88,7.89,88.24,1.7999999999999998,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0024,0.0,0.0044,0.0,89.41,4.92,91.18,1.04,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0026,0.0001,0.002,0.0,90.59,3.2199999999999998,90.88000000000001,1.23,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1548,0.0004,0.0092,0.0007,92.94,2.63,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0243,0.0005,0.0051,0.0001,91.75999999999999,3.2199999999999998,98.82,0.66,XGB,7,7,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1092,0.0007,0.0026,0.0001,90.59,5.26,92.35,1.23,MLP,7,7,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0001,0.0019,0.0,88.24,7.199999999999999,87.94,1.6099999999999999,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0001,0.0043,0.0001,89.41,4.92,91.75999999999999,0.8099999999999999,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0027,0.0001,0.002,0.0,90.59,3.2199999999999998,90.88000000000001,1.23,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1557,0.0008,0.0095,0.0007,92.94,2.63,100.0,0.0,RandomForest,8,8,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0249,0.0007,0.0053,0.0001,91.75999999999999,3.2199999999999998,98.82,0.66,XGB,8,8,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1117,0.0003,0.0026,0.0,90.59,5.26,93.24,0.8099999999999999,MLP,8,8,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0001,0.002,0.0001,84.71,10.69,87.94,1.6099999999999999,GaussianNB,8,8,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0024,0.0001,0.0044,0.0001,90.59,7.89,92.94,1.6099999999999999,KNeighbors,9,9,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0025,0.0,0.0019,0.0,87.06,7.670000000000001,91.75999999999999,1.97,LinearSVC,9,9,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1541,0.0011,0.0098,0.0001,92.94,2.63,100.0,0.0,RandomForest,9,9,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0253,0.0008,0.0055,0.0002,90.59,5.26,99.41,0.8099999999999999,XGB,9,9,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1102,0.0004,0.0026,0.0,90.59,3.2199999999999998,95.59,1.04,MLP,9,9,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0,0.002,0.0,87.06,7.670000000000001,87.35000000000001,3.39,GaussianNB,9,9,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0024,0.0,0.0044,0.0001,91.75999999999999,5.26,92.65,1.7999999999999998,KNeighbors,10,10,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0026,0.0001,0.002,0.0,91.75999999999999,6.710000000000001,96.47,1.32,LinearSVC,10,10,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1558,0.0002,0.0094,0.0007,91.75999999999999,5.26,100.0,0.0,RandomForest,10,10,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0253,0.0012,0.0059,0.0001,91.75999999999999,6.710000000000001,100.0,0.0,XGB,10,10,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.111,0.0004,0.0026,0.0,91.75999999999999,3.2199999999999998,96.76,0.66,MLP,10,10,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0024,0.0,0.0021,0.0,87.06,4.92,91.18,2.33,GaussianNB,10,10,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0024,0.0,0.0044,0.0001,88.24,4.16,90.59,3.05,KNeighbors,11,11,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0027,0.0001,0.0021,0.0001,88.24,4.16,91.18,2.75,LinearSVC,11,11,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1562,0.0006,0.01,0.0,95.28999999999999,2.63,100.0,0.0,RandomForest,11,11,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0263,0.0012,0.0061,0.0001,91.75999999999999,5.26,99.11999999999999,0.8099999999999999,XGB,11,11,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1118,0.0004,0.0026,0.0,88.24,5.88,97.65,0.8099999999999999,MLP,11,11,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0023,0.0,0.002,0.0,88.24,4.16,90.0,1.92,GaussianNB,11,11,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0025,0.0,0.0045,0.0001,94.12,0.0,95.28999999999999,1.6099999999999999,KNeighbors,12,12,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0028,0.0001,0.0021,0.0001,90.59,3.2199999999999998,98.53,1.7999999999999998,LinearSVC,12,12,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.156,0.0007,0.0099,0.0001,94.12,4.16,100.0,0.0,RandomForest,12,12,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.0258,0.0006,0.0062,0.0001,92.94,6.4399999999999995,100.0,0.0,XGB,12,12,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
0.1114,0.0001,0.0027,0.0,94.12,4.16,99.11999999999999,1.32,MLP,12,12,KGroups_max++,mutual_info,False,0:03:32.218562,0:03:33.735332,GLI_85
