fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0042,0.0001,94.05,5.489999999999999,94.11,1.3599999999999999,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0024,0.0,0.0018,0.0,95.05,6.12,95.83,1.87,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.1509,0.0002,0.0096,0.0,93.10000000000001,7.62,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0205,0.001,0.0037,0.0001,89.24,6.4399999999999995,97.78999999999999,0.5499999999999999,XGB,2,2,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.1065,0.0005,0.0025,0.0,95.05,6.12,95.59,1.0999999999999999,MLP,2,2,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0021,0.0,0.0018,0.0,95.05,6.12,95.1,0.86,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0022,0.0001,0.0041,0.0001,94.1,6.45,94.12,2.01,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0024,0.0,0.0018,0.0,95.05,6.12,95.59,2.0500000000000003,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.1511,0.0007,0.0096,0.0,91.24,6.34,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0214,0.0009,0.0039,0.0001,90.19,6.99,97.78999999999999,0.5499999999999999,XGB,3,3,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.108,0.0003,0.0024,0.0,94.1,6.45,95.1,1.21,MLP,3,3,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0021,0.0,0.0018,0.0,94.1,6.45,94.12,1.6,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0021,0.0001,0.0041,0.0001,94.1,6.45,93.87,1.9300000000000002,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0024,0.0,0.0018,0.0,95.1,6.13,94.85,2.36,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.1518,0.0006,0.0093,0.0005,88.38000000000001,10.61,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0215,0.0007,0.004,0.0001,89.29,8.05,99.02,0.5499999999999999,XGB,4,4,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.1092,0.0003,0.0023,0.0001,95.1,6.99,95.34,1.34,MLP,4,4,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0022,0.0001,0.0018,0.0,94.1,6.45,95.1,1.73,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
0.0021,0.0001,0.004,0.0001,93.10000000000001,5.64,94.36,1.39,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:23.924186,0:03:25.395721,Prostate_GE
