fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0037,0.0001,60.0,12.25,71.5,4.87,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0024,0.0,0.0018,0.0,60.0,14.14,66.5,4.54,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.1488,0.0003,0.009,0.0007,66.0,11.4,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0434,0.002,0.0036,0.0001,56.00000000000001,25.1,97.0,2.09,XGB,2,2,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0925,0.0003,0.0022,0.0,57.99999999999999,8.37,66.5,9.78,MLP,2,2,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0022,0.0,0.0019,0.0,50.0,14.14,70.0,6.8500000000000005,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0021,0.0001,0.0036,0.0001,48.0,14.829999999999998,66.5,3.7900000000000005,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0024,0.0001,0.0018,0.0,57.99999999999999,8.37,66.5,3.7900000000000005,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.1489,0.0003,0.009,0.0007,56.00000000000001,8.94,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0424,0.0014,0.0039,0.0001,64.0,20.74,100.0,0.0,XGB,3,3,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0929,0.0002,0.0022,0.0001,57.99999999999999,14.829999999999998,70.0,6.370000000000001,MLP,3,3,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0022,0.0001,0.0019,0.0,54.0,15.17,73.5,5.48,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0021,0.0001,0.0036,0.0002,64.0,20.74,81.0,2.2399999999999998,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0024,0.0001,0.0018,0.0,62.0,8.37,82.0,5.42,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.1508,0.0007,0.0087,0.0004,60.0,15.809999999999999,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0412,0.0004,0.0041,0.0001,62.0,13.04,100.0,0.0,XGB,4,4,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
0.0955,0.0008,0.0023,0.0001,60.0,15.809999999999999,84.0,5.18,MLP,4,4,KGroups_max,mutual_info,False,0:03:25.458819,0:03:27.086236,GLIOMA
