fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0041,0.0001,94.05,5.489999999999999,94.11,1.3599999999999999,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0024,0.0001,0.0018,0.0,95.05,6.12,95.83,1.87,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.1522,0.0006,0.0093,0.0006,93.10000000000001,7.62,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.02,0.0011,0.0034,0.0001,89.24,6.4399999999999995,97.78999999999999,0.5499999999999999,XGB,2,2,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.1086,0.0007,0.0023,0.0,95.05,6.12,95.59,1.0999999999999999,MLP,2,2,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0022,0.0,0.0019,0.0,95.05,6.12,95.1,0.86,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0022,0.0,0.0043,0.0001,89.29,6.22,93.63,1.59,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0024,0.0001,0.0019,0.0001,93.14,5.66,93.14,1.39,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.154,0.0007,0.0091,0.0007,94.14,6.460000000000001,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0207,0.0004,0.0038,0.0001,93.14,5.66,99.75,0.5499999999999999,XGB,3,3,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.112,0.0006,0.0022,0.0,91.19,4.130000000000001,92.65,1.9300000000000002,MLP,3,3,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0021,0.0001,0.0019,0.0,88.29,4.24,92.16,0.64,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0022,0.0001,0.0041,0.0001,92.10000000000001,8.34,92.89,2.03,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0024,0.0001,0.0018,0.0,95.05,6.12,96.07,2.1999999999999997,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.1536,0.0005,0.0089,0.0006,92.14,5.6899999999999995,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
0.0215,0.0011,0.0039,0.0001,88.29,7.37,98.04,1.0999999999999999,XGB,4,4,KGroups_max,mutual_info,False,0:03:20.559481,0:03:22.145089,Prostate_GE
