fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0044,0.0001,89.29,8.73,92.65,2.85,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0025,0.0001,0.0019,0.0,92.14,7.580000000000001,92.16,2.0500000000000003,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1518,0.0013,0.0098,0.0001,87.38,11.57,100.0,0.0,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.022,0.0009,0.0041,0.0002,86.38,11.110000000000001,99.02,0.5499999999999999,XGB,2,2,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1075,0.0005,0.0026,0.0,91.14,7.4399999999999995,92.16,2.03,MLP,2,2,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0024,0.0001,0.002,0.0,91.14,7.4399999999999995,91.17,1.82,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0025,0.0001,0.0047,0.0002,88.24,7.3999999999999995,92.88,1.8599999999999999,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0025,0.0001,0.0019,0.0,91.19,8.12,93.38,2.03,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1551,0.0012,0.01,0.0002,89.29,5.220000000000001,100.0,0.0,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.022,0.0005,0.0043,0.0002,90.24,4.83,99.27,0.67,XGB,3,3,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.113,0.0014,0.0026,0.0,90.24,7.8,93.87,1.49,MLP,3,3,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0,0.002,0.0,91.24,7.93,92.16,1.63,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0025,0.0001,0.0046,0.0001,94.1,8.23,95.1,2.44,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0026,0.0001,0.002,0.0,93.14,5.66,94.61,1.0999999999999999,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.154,0.0007,0.0098,0.0001,89.33,9.2,100.0,0.0,RandomForest,4,4,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0227,0.0005,0.0045,0.0001,86.42999999999999,10.41,99.27,0.67,XGB,4,4,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1101,0.0007,0.0025,0.0001,94.14,6.460000000000001,95.59,1.39,MLP,4,4,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0001,0.0019,0.0,94.14,8.02,94.12,2.19,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0024,0.0001,0.0045,0.0001,88.33,6.35,94.12,1.6,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0026,0.0001,0.002,0.0,91.19,4.130000000000001,94.61,1.63,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1529,0.0007,0.0097,0.0001,92.19000000000001,6.550000000000001,100.0,0.0,RandomForest,5,5,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0231,0.0005,0.0047,0.0002,92.14,4.46,99.02,0.5499999999999999,XGB,5,5,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1107,0.0004,0.0025,0.0001,92.19000000000001,5.62,94.85,1.59,MLP,5,5,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0001,0.0019,0.0001,93.19,4.32,95.1,1.21,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0001,0.0043,0.0001,92.19000000000001,8.309999999999999,93.63,2.17,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0026,0.0001,0.002,0.0,92.14,4.46,94.11,2.37,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.153,0.0002,0.0098,0.0001,93.14,5.66,100.0,0.0,RandomForest,6,6,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0238,0.001,0.0048,0.0001,92.19000000000001,8.77,99.27,0.67,XGB,6,6,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1116,0.0004,0.0025,0.0,93.14,5.66,95.34,1.6,MLP,6,6,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0,0.002,0.0,94.1,6.45,94.85,2.02,GaussianNB,6,6,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0024,0.0,0.0045,0.0001,94.14,6.460000000000001,95.34,2.02,KNeighbors,7,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0026,0.0001,0.002,0.0001,92.19000000000001,5.62,95.34,2.19,LinearSVC,7,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1533,0.0005,0.0098,0.0001,92.14,7.580000000000001,100.0,0.0,RandomForest,7,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0247,0.001,0.0051,0.0001,90.24,5.99,99.76,0.5499999999999999,XGB,7,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1105,0.0003,0.0026,0.0002,93.19,7.41,96.08,2.01,MLP,7,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0,0.002,0.0,95.05,8.66,95.09,2.12,GaussianNB,7,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0024,0.0,0.0045,0.0001,93.14,5.66,95.09,1.51,KNeighbors,8,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0025,0.0001,0.0019,0.0001,92.14,4.46,95.09,2.31,LinearSVC,8,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1516,0.0005,0.0097,0.0,92.14,7.580000000000001,100.0,0.0,RandomForest,8,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0236,0.0011,0.005,0.0001,90.14,7.8,99.51,0.67,XGB,8,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1108,0.0009,0.0026,0.0001,93.14,5.66,95.83,1.8499999999999999,MLP,8,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0022,0.0,0.0019,0.0,94.1,6.45,94.12,1.6,GaussianNB,8,7,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0,0.0043,0.0001,92.10000000000001,8.34,93.86,2.48,KNeighbors,9,8,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0026,0.0001,0.0019,0.0,91.14,8.09,95.1,3.11,LinearSVC,9,8,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1517,0.0004,0.0096,0.0,93.10000000000001,7.62,100.0,0.0,RandomForest,9,8,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0242,0.0013,0.0051,0.0001,89.19,2.35,99.75,0.5499999999999999,XGB,9,8,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1115,0.0005,0.0024,0.0001,93.10000000000001,8.33,95.09,2.31,MLP,9,8,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0022,0.0,0.0019,0.0,94.05,8.219999999999999,94.11,2.02,GaussianNB,9,8,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0023,0.0001,0.0043,0.0001,94.05,8.219999999999999,95.09,2.13,KNeighbors,10,9,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0025,0.0001,0.0019,0.0001,91.14,6.54,95.83,2.54,LinearSVC,10,9,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1525,0.0004,0.0096,0.0,91.19,7.39,100.0,0.0,RandomForest,10,9,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0248,0.0012,0.0052,0.0001,90.24,10.190000000000001,99.27,0.67,XGB,10,9,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.1109,0.0005,0.0025,0.0,92.14,7.580000000000001,96.32,2.44,MLP,10,9,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0022,0.0,0.0019,0.0,93.10000000000001,8.33,94.12,1.34,GaussianNB,10,9,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
0.0022,0.0001,0.0042,0.0001,92.14,7.580000000000001,93.87,2.29,KNeighbors,11,10,KGroups_max++,Fvalue,False,0:03:19.752221,0:03:21.171855,Prostate_GE
