fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0044,0.0001,89.29,8.73,92.65,2.85,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.0025,0.0,0.0019,0.0,92.14,7.580000000000001,92.16,2.0500000000000003,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.1526,0.0003,0.0098,0.0001,87.38,11.57,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.0214,0.0008,0.004,0.0001,86.38,11.110000000000001,99.02,0.5499999999999999,XGB,2,2,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.1071,0.0001,0.0025,0.0001,91.14,7.4399999999999995,92.16,2.03,MLP,2,2,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.0021,0.0001,0.0019,0.0,91.14,7.4399999999999995,91.17,1.82,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.0022,0.0001,0.0042,0.0001,93.05,5.72,92.64,1.54,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.0024,0.0,0.0018,0.0,94.05,6.529999999999999,95.09,2.31,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.1517,0.0003,0.0097,0.0001,92.10000000000001,4.55,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
0.0216,0.0008,0.0041,0.0001,92.10000000000001,6.76,98.77,0.01,XGB,3,3,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854,Prostate_GE
