dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,28,18,98.57,3.19,KNeighbors,KGroups_max,Fvalue,False,0:03:09.334956,0:03:10.680426
CLL_SUB_111,86,38,67.51,12.34,KNeighbors,KGroups_max,Fvalue,False,0:03:55.939448,0:03:57.658333
Carcinom,92,7,35.08,7.5,KNeighbors,KGroups_max,Fvalue,False,0:04:26.376910,0:04:28.408018
GLIOMA,56,23,86.0,5.48,KNeighbors,KGroups_max,Fvalue,False,0:03:14.716569,0:03:16.142107
GLI_85,98,66,96.47,3.22,KNeighbors,KGroups_max,Fvalue,False,0:03:30.274739,0:03:31.948465
Prostate_GE,13,11,96.05,6.510000000000001,KNeighbors,KGroups_max,Fvalue,False,0:03:21.601440,0:03:23.168854
SMK_CAN_187,61,54,71.65,10.99,KNeighbors,KGroups_max,Fvalue,False,0:04:41.989848,0:04:44.112563
TOX_171,9,8,70.19999999999999,8.780000000000001,KNeighbors,KGroups_max,Fvalue,False,0:04:50.565097,0:04:52.777405
colon,5,5,91.79,10.21,KNeighbors,KGroups_max,Fvalue,False,0:03:12.456612,0:03:13.993599
leukemia,38,16,100.0,0.0,KNeighbors,KGroups_max,Fvalue,False,0:03:02.507619,0:03:03.993587
lung,98,43,96.52,2.86,KNeighbors,KGroups_max,Fvalue,False,0:04:30.996625,0:04:33.076069
lung_discrete,59,40,90.38,6.08,KNeighbors,KGroups_max,Fvalue,False,0:03:41.507454,0:03:43.239882
lymphoma,72,54,89.58,3.73,KNeighbors,KGroups_max,Fvalue,False,0:04:01.846345,0:04:03.579947
nci9,2,2,23.33,3.73,KNeighbors,KGroups_max,Fvalue,False,0:03:07.844205,0:03:09.145434
