dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,79,75,98.57,3.19,RandomForest,KGroups_max,cosine_sim,False,0:03:16.488468,0:03:17.939600
CLL_SUB_111,90,90,79.33,3.61,RandomForest,KGroups_max,cosine_sim,False,0:04:27.055578,0:04:28.988194
Carcinom,43,43,81.03,6.29,RandomForest,KGroups_max,cosine_sim,False,0:06:20.426066,0:06:23.188618
GLIOMA,63,63,80.0,12.25,RandomForest,KGroups_max,cosine_sim,False,0:03:31.939180,0:03:33.581443
GLI_85,46,46,92.94,4.92,RandomForest,KGroups_max,cosine_sim,False,0:03:35.834199,0:03:37.466370
Prostate_GE,65,61,95.1,6.99,RandomForest,KGroups_max,cosine_sim,False,0:03:36.294114,0:03:38.055311
SMK_CAN_187,7,7,68.97999999999999,6.7299999999999995,RandomForest,KGroups_max,cosine_sim,False,0:04:50.872392,0:04:53.152004
TOX_171,92,92,72.57000000000001,6.35,RandomForest,KGroups_max,cosine_sim,False,0:05:44.276575,0:05:46.883160
colon,47,47,90.13,7.02,RandomForest,KGroups_max,cosine_sim,False,0:03:19.268924,0:03:20.754508
leukemia,2,2,98.67,2.98,RandomForest,KGroups_max,cosine_sim,False,0:03:11.541194,0:03:12.986206
lung,28,28,93.59,2.81,RandomForest,KGroups_max,cosine_sim,False,0:05:35.373957,0:05:37.863835
lung_discrete,47,44,88.86,6.63,RandomForest,KGroups_max,cosine_sim,False,0:03:48.196359,0:03:49.966132
lymphoma,99,96,84.47,5.91,RandomForest,KGroups_max,cosine_sim,False,0:04:11.928364,0:04:13.728791
nci9,60,60,55.00000000000001,13.94,RandomForest,KGroups_max,cosine_sim,False,0:04:02.484343,0:04:04.209448
