dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,26,25,97.24,3.790000000000001,GaussianNB,KGroups_max++,entropy,False,0:03:11.290768,0:03:12.617845
CLL_SUB_111,2,2,49.49,6.43,GaussianNB,KGroups_max++,entropy,False,0:03:17.286520,0:03:18.654116
Carcinom,73,73,75.31,5.82,GaussianNB,KGroups_max++,entropy,False,0:05:39.297650,0:05:41.712441
GLIOMA,16,16,74.0,13.420000000000002,GaussianNB,KGroups_max++,entropy,False,0:03:25.658275,0:03:27.073626
GLI_85,3,3,68.24,11.47,GaussianNB,KGroups_max++,entropy,False,0:03:01.347053,0:03:02.622481
Prostate_GE,4,4,95.1,4.88,GaussianNB,KGroups_max++,entropy,False,0:03:33.375176,0:03:34.845690
SMK_CAN_187,63,60,68.42,16.37,GaussianNB,KGroups_max++,entropy,False,0:04:45.634734,0:04:47.640102
TOX_171,11,10,60.91,12.77,GaussianNB,KGroups_max++,entropy,False,0:04:13.957034,0:04:15.723275
colon,2,2,74.22999999999999,13.11,GaussianNB,KGroups_max++,entropy,False,0:03:08.422713,0:03:09.756470
leukemia,13,13,93.05,8.75,GaussianNB,KGroups_max++,entropy,False,0:03:09.435429,0:03:10.728691
lung,96,91,82.27,5.4,GaussianNB,KGroups_max++,entropy,False,0:05:00.321194,0:05:02.362467
lung_discrete,29,25,72.67,4.279999999999999,GaussianNB,KGroups_max++,entropy,False,0:03:40.678418,0:03:42.179762
lymphoma,14,13,74.05000000000001,7.76,GaussianNB,KGroups_max++,entropy,False,0:03:59.482170,0:04:01.123610
nci9,11,11,40.0,14.91,GaussianNB,KGroups_max++,entropy,False,0:03:57.070084,0:03:58.682791
