dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,5,5,98.67,2.98,RandomForest,KGroups_max,mutual_info,False,0:03:12.759059,0:03:14.181132
CLL_SUB_111,90,77,84.66,5.24,RandomForest,KGroups_max,mutual_info,False,0:04:18.624629,0:04:20.476412
Carcinom,99,89,91.36,3.5700000000000003,RandomForest,KGroups_max,mutual_info,False,0:05:47.052048,0:05:49.643852
GLIOMA,89,77,84.0,11.4,RandomForest,KGroups_max,mutual_info,False,0:03:31.036737,0:03:32.564746
GLI_85,9,9,96.47,3.22,RandomForest,KGroups_max,mutual_info,False,0:03:33.226951,0:03:34.854921
Prostate_GE,19,17,95.1,6.99,RandomForest,KGroups_max,mutual_info,False,0:03:29.010106,0:03:30.549799
SMK_CAN_187,82,72,73.83999999999999,12.22,RandomForest,KGroups_max,mutual_info,False,0:04:45.956196,0:04:48.040637
TOX_171,15,15,67.82000000000001,7.870000000000001,RandomForest,KGroups_max,mutual_info,False,0:05:10.812189,0:05:13.234256
colon,20,20,90.26,9.19,RandomForest,KGroups_max,mutual_info,False,0:03:15.698835,0:03:17.153887
leukemia,15,15,100.0,0.0,RandomForest,KGroups_max,mutual_info,False,0:03:04.402520,0:03:05.882260
lung,96,82,95.56,3.2099999999999995,RandomForest,KGroups_max,mutual_info,False,0:05:17.054313,0:05:19.541544
lung_discrete,71,55,86.38,4.5600000000000005,RandomForest,KGroups_max,mutual_info,False,0:03:45.042600,0:03:46.808734
lymphoma,43,42,90.68,9.29,RandomForest,KGroups_max,mutual_info,False,0:04:08.932272,0:04:10.701602
nci9,79,79,60.0,3.73,RandomForest,KGroups_max,mutual_info,False,0:04:02.820915,0:04:04.528647
