fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0042,0.0001,88.24,7.199999999999999,89.71000000000001,2.08,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0025,0.0001,0.0019,0.0,87.06,7.670000000000001,87.64999999999999,1.68,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1518,0.001,0.0097,0.0001,87.06,9.67,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0222,0.0005,0.004,0.0001,84.71,8.92,97.94,1.68,XGB,2,2,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1016,0.0003,0.0025,0.0,88.24,7.199999999999999,89.12,1.68,MLP,2,2,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0022,0.0001,0.0019,0.0,89.41,7.670000000000001,87.94,2.42,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0023,0.0001,0.0042,0.0001,88.24,7.199999999999999,90.59,1.68,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0026,0.0001,0.0019,0.0001,89.41,4.92,90.29,1.97,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1526,0.0008,0.0099,0.0001,88.24,5.88,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0217,0.0004,0.0043,0.0002,88.24,5.88,98.82,0.66,XGB,3,3,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1045,0.0008,0.0025,0.0001,89.41,4.92,90.0,1.23,MLP,3,3,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0023,0.0,0.002,0.0001,88.24,4.16,87.64999999999999,3.05,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0024,0.0,0.0043,0.0001,88.24,4.16,90.88000000000001,2.18,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0025,0.0,0.0019,0.0,88.24,5.88,91.47,2.42,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1537,0.0009,0.0097,0.0,90.59,7.89,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0221,0.0006,0.0044,0.0002,89.41,6.4399999999999995,98.82,0.66,XGB,4,4,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1052,0.0006,0.0025,0.0,88.24,5.88,92.35,1.23,MLP,4,4,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0024,0.0001,0.002,0.0,89.41,4.92,86.76,3.45,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0024,0.0,0.0044,0.0001,92.94,2.63,91.75999999999999,1.68,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0026,0.0,0.002,0.0,90.59,5.26,91.47,1.6099999999999999,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1527,0.0005,0.0097,0.0,88.24,7.199999999999999,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0228,0.0005,0.0046,0.0002,88.24,8.32,98.82,0.66,XGB,5,5,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1054,0.0002,0.0026,0.0001,91.75999999999999,3.2199999999999998,92.65,1.04,MLP,5,5,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0023,0.0,0.0019,0.0,88.24,5.88,88.24,1.7999999999999998,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0024,0.0,0.0043,0.0001,89.41,2.63,88.82,0.8099999999999999,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0027,0.0001,0.002,0.0001,85.88,5.26,90.59,1.32,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1528,0.0009,0.0098,0.0001,91.75999999999999,3.2199999999999998,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0234,0.0002,0.0048,0.0,88.24,5.88,98.82,0.66,XGB,6,6,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1062,0.0003,0.0025,0.0,85.88,3.2199999999999998,92.65,1.04,MLP,6,6,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0023,0.0001,0.0019,0.0,83.53,4.92,89.12,2.23,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0024,0.0,0.0043,0.0001,83.53,2.63,90.88000000000001,1.92,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0026,0.0001,0.002,0.0,88.24,4.16,90.29,0.8099999999999999,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1528,0.0007,0.0098,0.0001,89.41,2.63,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0249,0.0006,0.005,0.0001,88.24,0.0,98.82,0.66,XGB,7,7,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1066,0.0006,0.0026,0.0001,88.24,0.0,92.35,1.23,MLP,7,7,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0023,0.0,0.0019,0.0,83.53,10.52,85.0,2.83,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0024,0.0001,0.0043,0.0001,90.59,5.26,91.47,1.23,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0026,0.0001,0.0019,0.0,85.88,9.84,91.75999999999999,1.32,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1524,0.0005,0.0097,0.0,92.94,4.92,100.0,0.0,RandomForest,8,8,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.0251,0.0003,0.0052,0.0001,90.59,3.2199999999999998,99.11999999999999,0.8099999999999999,XGB,8,8,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
0.1073,0.0002,0.0026,0.0,87.06,7.670000000000001,94.12,1.47,MLP,8,8,KGroups_max++,mutual_info,False,0:03:33.859293,0:03:35.362023,GLI_85
