fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0001,0.0044,0.0001,85.38,7.539999999999999,91.91,1.4200000000000002,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0025,0.0001,0.0019,0.0,89.24,6.4399999999999995,88.97,2.71,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1515,0.0004,0.0097,0.0001,82.48,7.8100000000000005,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.022,0.0008,0.0039,0.0001,84.43,11.540000000000001,98.77,0.01,XGB,2,2,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1052,0.0004,0.0025,0.0,87.33,7.33,90.93,2.1999999999999997,MLP,2,2,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0022,0.0,0.0019,0.0,88.24,5.66,91.18,1.3299999999999998,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0001,0.0044,0.0001,94.05,5.489999999999999,93.87,1.51,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0025,0.0001,0.0019,0.0,94.1,5.5,95.58,1.87,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1516,0.0006,0.0098,0.0001,90.14,6.18,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0227,0.0012,0.0043,0.0001,90.19,6.13,99.02,0.5499999999999999,XGB,3,3,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1075,0.0004,0.0025,0.0,94.05,5.489999999999999,95.34,0.5599999999999999,MLP,3,3,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0001,0.0019,0.0,94.05,5.489999999999999,94.11,1.3599999999999999,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0001,0.0044,0.0001,92.14,6.529999999999999,94.12,0.5599999999999999,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0025,0.0001,0.0019,0.0,94.14,6.460000000000001,95.34,2.02,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1527,0.0006,0.0095,0.0005,89.29,8.05,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0226,0.0007,0.0044,0.0001,89.24,6.4399999999999995,98.04,0.67,XGB,4,4,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1094,0.0003,0.0025,0.0001,94.1,8.89,95.1,1.49,MLP,4,4,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0001,0.0019,0.0,93.10000000000001,8.33,93.63,1.6,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0024,0.0,0.0044,0.0001,93.10000000000001,5.64,94.11,2.02,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0025,0.0001,0.0019,0.0001,94.05,8.219999999999999,95.59,2.0500000000000003,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1523,0.0008,0.0096,0.0001,91.19,7.39,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0237,0.0009,0.0046,0.0001,90.24,7.8,99.51,0.67,XGB,5,5,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1105,0.0007,0.0025,0.0,95.05,6.12,95.83,1.0999999999999999,MLP,5,5,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0001,0.002,0.0,92.14,8.95,92.4,2.0,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0024,0.0,0.0044,0.0001,92.10000000000001,5.66,93.13,2.2399999999999998,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0025,0.0001,0.0019,0.0001,91.24,10.4,94.84,2.3800000000000003,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.152,0.0008,0.0097,0.0,91.29,8.64,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.024,0.0009,0.0047,0.0001,87.29,5.59,99.76,0.5499999999999999,XGB,6,6,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1098,0.0008,0.0025,0.0,93.10000000000001,5.64,95.58,1.87,MLP,6,6,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0022,0.0,0.0019,0.0,91.14,4.22,91.91,1.39,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0001,0.0042,0.0001,93.14,7.3999999999999995,92.4,2.0,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0024,0.0,0.0018,0.0,93.14,5.66,95.58,2.2399999999999998,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1507,0.0005,0.0095,0.0,90.19,6.99,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0238,0.0007,0.0046,0.0001,89.24,6.4399999999999995,99.27,0.67,XGB,7,7,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.11,0.0006,0.0024,0.0001,94.1,8.89,96.08,1.6,MLP,7,7,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0021,0.0,0.0018,0.0,92.10000000000001,7.55,92.89,2.01,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0021,0.0001,0.004,0.0001,91.14,8.09,93.38,2.23,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0024,0.0001,0.0018,0.0,91.19,7.39,95.59,2.0500000000000003,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1503,0.0005,0.0094,0.0,91.19,7.39,100.0,0.0,RandomForest,8,8,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0238,0.0014,0.0048,0.0001,89.24,8.75,99.51,0.67,XGB,8,8,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1104,0.0003,0.0024,0.0,94.1,8.89,96.08,1.6,MLP,8,8,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0021,0.0,0.0018,0.0,90.10000000000001,7.91,92.4,1.6,GaussianNB,8,8,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0021,0.0001,0.0042,0.0005,93.14,7.3999999999999995,93.13,2.06,KNeighbors,9,9,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0,0.0018,0.0,91.24,12.07,95.34,2.19,LinearSVC,9,9,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1532,0.0015,0.0097,0.0001,92.14,7.42,100.0,0.0,RandomForest,9,9,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0257,0.0013,0.0054,0.0001,92.19000000000001,10.7,99.02,0.5499999999999999,XGB,9,9,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1141,0.0006,0.0026,0.0,90.24,11.35,95.34,2.19,MLP,9,9,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0,0.002,0.0,92.10000000000001,7.55,93.38,1.8499999999999999,GaussianNB,9,9,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0024,0.0,0.0045,0.0001,91.14,6.36,94.12,1.58,KNeighbors,10,10,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0026,0.0,0.002,0.0,91.19,7.9,96.56,2.02,LinearSVC,10,10,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1546,0.0014,0.0097,0.0001,93.10000000000001,5.64,100.0,0.0,RandomForest,10,10,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0266,0.0011,0.0058,0.0,93.10000000000001,8.33,100.0,0.0,XGB,10,10,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1137,0.0005,0.0026,0.0001,92.14,6.529999999999999,96.57,1.34,MLP,10,10,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0,0.002,0.0,90.14,9.26,92.16,2.23,GaussianNB,10,10,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0024,0.0,0.0045,0.0001,93.14,7.3999999999999995,92.89,1.6,KNeighbors,11,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0026,0.0001,0.002,0.0,91.19,10.0,96.56,2.21,LinearSVC,11,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.154,0.0006,0.0097,0.0,93.14,7.3999999999999995,100.0,0.0,RandomForest,11,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0277,0.0009,0.006,0.0,92.14,8.95,99.27,0.67,XGB,11,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.1144,0.0003,0.0026,0.0,92.14,8.95,97.06,1.6500000000000001,MLP,11,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0023,0.0001,0.002,0.0,91.14,8.09,92.64,1.96,GaussianNB,11,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0024,0.0001,0.0045,0.0001,91.14,6.36,93.38,2.8400000000000003,KNeighbors,12,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
0.0026,0.0,0.0019,0.0,93.14,9.6,95.83,2.39,LinearSVC,12,11,KGroups_max++,mutual_info,False,0:03:27.456043,0:03:28.926995,Prostate_GE
