fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0,0.0041,0.0001,53.52,16.88,57.87,5.87,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0026,0.0001,0.0019,0.0001,53.52,9.4,57.87,2.77,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.1473,0.0004,0.0096,0.0001,56.00000000000001,13.62,60.61,3.46,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0742,0.0024,0.0041,0.0001,54.86,17.22,60.61,3.46,XGB,2,2,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.097,0.0005,0.0025,0.0001,56.28999999999999,17.01,60.27,3.2800000000000002,MLP,2,2,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0025,0.0001,0.002,0.0,42.38,11.53,46.239999999999995,3.47,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0023,0.0001,0.0041,0.0001,46.57,11.14,54.459999999999994,3.42,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0026,0.0,0.0019,0.0001,49.43,6.550000000000001,53.42,1.3599999999999999,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.1475,0.0003,0.0096,0.0,43.81,14.11,65.4,1.69,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0803,0.0021,0.0043,0.0001,47.71,11.78,64.37,2.53,XGB,3,3,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0994,0.0005,0.0024,0.0001,54.86,8.43,64.03999999999999,1.7399999999999998,MLP,3,3,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0024,0.0,0.0019,0.0,38.190000000000005,14.899999999999999,47.25,4.1000000000000005,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0022,0.0,0.0039,0.0001,49.33,11.05,66.41,5.16,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0027,0.0001,0.0018,0.0,53.33,9.31,67.45,2.8899999999999997,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.1483,0.0004,0.0097,0.0001,52.0,13.120000000000001,78.77,1.53,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0811,0.002,0.0045,0.0001,53.43,15.040000000000001,78.77,1.53,XGB,4,4,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.101,0.0005,0.0025,0.0,64.29,12.53,75.0,1.58,MLP,4,4,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0024,0.0001,0.002,0.0,48.1,14.940000000000001,53.400000000000006,4.87,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0022,0.0001,0.0039,0.0001,62.949999999999996,9.55,71.55,3.3300000000000005,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0027,0.0,0.0019,0.0001,64.19,13.969999999999999,77.74,1.72,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.1484,0.0004,0.0096,0.0001,62.760000000000005,18.060000000000002,88.7,3.1199999999999997,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0741,0.0023,0.0046,0.0001,62.86000000000001,20.31,88.01,3.2,XGB,5,5,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.103,0.0004,0.0024,0.0,67.05,11.32,81.84,2.04,MLP,5,5,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0024,0.0,0.0019,0.0,46.19,18.8,57.52,5.67,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0021,0.0001,0.0038,0.0001,50.480000000000004,10.17,67.77,6.800000000000001,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.0027,0.0,0.0019,0.0001,53.33,19.63,76.01,3.0700000000000003,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
0.1479,0.0004,0.0095,0.0,60.0,14.06,96.24000000000001,1.43,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:45.317883,0:03:46.842041,lung_discrete
