fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0034,0.0001,72.0,13.04,76.0,3.35,KNeighbors,2,2,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0023,0.0,0.0017,0.0001,54.0,11.4,64.5,6.22,LinearSVC,2,2,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.1369,0.0002,0.0081,0.0002,74.0,8.94,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0305,0.0006,0.0029,0.0001,62.0,8.37,100.0,0.0,XGB,2,2,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0912,0.0001,0.002,0.0001,57.99999999999999,4.47,69.0,3.7900000000000005,MLP,2,2,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,62.0,10.95,78.0,2.74,GaussianNB,2,2,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,50.0,17.32,71.5,2.2399999999999998,KNeighbors,3,3,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0023,0.0,0.0018,0.0,52.0,4.47,67.0,4.81,LinearSVC,3,3,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.1372,0.0004,0.0081,0.0,62.0,16.43,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0316,0.0005,0.0031,0.0001,52.0,14.829999999999998,100.0,0.0,XGB,3,3,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0908,0.0001,0.002,0.0001,56.00000000000001,5.48,71.0,2.85,MLP,3,3,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,57.99999999999999,8.37,72.0,3.26,GaussianNB,3,3,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,50.0,14.14,77.5,3.95,KNeighbors,4,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0023,0.0,0.0017,0.0001,50.0,10.0,69.0,4.87,LinearSVC,4,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.1378,0.0002,0.0081,0.0001,66.0,11.4,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0306,0.0005,0.0032,0.0001,60.0,15.809999999999999,100.0,0.0,XGB,4,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0913,0.0002,0.0019,0.0,60.0,10.0,74.5,3.71,MLP,4,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,57.99999999999999,10.95,82.5,3.54,GaussianNB,4,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,62.0,13.04,70.5,5.7,KNeighbors,5,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0024,0.0,0.0018,0.0,42.0,10.95,65.5,8.37,LinearSVC,5,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.1383,0.0003,0.008,0.0,42.0,8.37,100.0,0.0,RandomForest,5,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0323,0.0007,0.0032,0.0001,40.0,20.0,100.0,0.0,XGB,5,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0922,0.0001,0.0019,0.0,56.00000000000001,15.17,73.5,6.02,MLP,5,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,48.0,14.829999999999998,72.5,3.06,GaussianNB,5,4,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,66.0,11.4,75.5,2.09,KNeighbors,6,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0024,0.0,0.0018,0.0,40.0,12.25,70.0,5.86,LinearSVC,6,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.138,0.0004,0.0081,0.0001,68.0,14.829999999999998,100.0,0.0,RandomForest,6,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0315,0.0009,0.0034,0.0001,60.0,7.07,100.0,0.0,XGB,6,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0938,0.0003,0.002,0.0,54.0,8.94,83.0,1.1199999999999999,MLP,6,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,56.00000000000001,8.94,77.5,8.84,GaussianNB,6,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,70.0,12.25,79.5,3.71,KNeighbors,7,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0023,0.0,0.0018,0.0,66.0,11.4,77.5,5.3,LinearSVC,7,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.138,0.0002,0.0081,0.0001,78.0,8.37,100.0,0.0,RandomForest,7,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0311,0.0005,0.0035,0.0002,57.99999999999999,8.37,100.0,0.0,XGB,7,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0943,0.0003,0.0019,0.0001,72.0,13.04,83.0,5.12,MLP,7,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,70.0,7.07,87.0,3.26,GaussianNB,7,5,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,56.00000000000001,8.94,81.0,2.85,KNeighbors,8,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0024,0.0,0.0018,0.0,46.0,16.73,77.5,2.5,LinearSVC,8,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.1379,0.0004,0.0081,0.0001,56.00000000000001,15.17,100.0,0.0,RandomForest,8,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0317,0.0005,0.0035,0.0,50.0,15.809999999999999,100.0,0.0,XGB,8,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0947,0.0004,0.0021,0.0001,54.0,18.17,83.5,2.85,MLP,8,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,54.0,11.4,82.0,2.74,GaussianNB,8,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,54.0,20.74,81.5,7.199999999999999,KNeighbors,9,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0024,0.0,0.0018,0.0,54.0,5.48,76.0,7.62,LinearSVC,9,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.138,0.0005,0.0081,0.0,62.0,16.43,100.0,0.0,RandomForest,9,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.032,0.0005,0.0036,0.0,56.00000000000001,18.17,100.0,0.0,XGB,9,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.094,0.0003,0.002,0.0001,54.0,5.48,82.0,5.7,MLP,9,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0021,0.0,0.0018,0.0,56.00000000000001,11.4,81.5,2.2399999999999998,GaussianNB,9,6,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.002,0.0001,0.0034,0.0001,57.99999999999999,20.49,72.0,10.22,KNeighbors,10,7,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.0024,0.0,0.0018,0.0,48.0,8.37,74.5,3.26,LinearSVC,10,7,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
0.1377,0.0004,0.0081,0.0,52.0,10.95,100.0,0.0,RandomForest,10,7,KGroups_max,Fvalue,False,0:02:53.166940,0:02:54.261902,GLIOMA
