dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,34,32,97.24,3.790000000000001,MLP,KGroups_max++,entropy,False,0:03:13.784524,0:03:15.176672
CLL_SUB_111,2,2,45.85,6.38,MLP,KGroups_max++,entropy,False,0:03:18.761723,0:03:20.211529
Carcinom,81,81,94.82,3.1399999999999997,MLP,KGroups_max++,entropy,False,0:05:41.385894,0:05:43.679000
GLIOMA,3,3,86.0,11.4,MLP,KGroups_max++,entropy,False,0:03:27.488033,0:03:28.982039
GLI_85,3,3,68.24,14.17,MLP,KGroups_max++,entropy,False,0:03:04.351863,0:03:05.723570
Prostate_GE,20,20,94.14,6.460000000000001,MLP,KGroups_max++,entropy,False,0:03:36.540812,0:03:38.121465
SMK_CAN_187,40,40,67.97,10.35,MLP,KGroups_max++,entropy,False,0:04:48.782145,0:04:50.862205
TOX_171,17,11,56.18,6.76,MLP,KGroups_max++,entropy,False,0:04:15.694211,0:04:17.535562
colon,100,53,91.67,11.79,MLP,KGroups_max++,entropy,False,0:03:10.705471,0:03:12.075789
leukemia,11,11,100.0,0.0,MLP,KGroups_max++,entropy,False,0:03:11.274849,0:03:12.642536
lung,77,75,96.04,2.27,MLP,KGroups_max++,entropy,False,0:05:04.362524,0:05:06.531366
lung_discrete,76,48,91.71,5.79,MLP,KGroups_max++,entropy,False,0:03:41.869005,0:03:43.429876
lymphoma,46,36,94.84,5.140000000000001,MLP,KGroups_max++,entropy,False,0:04:03.124906,0:04:04.840900
nci9,50,50,76.67,6.97,MLP,KGroups_max++,entropy,False,0:03:59.004781,0:04:00.669164
