dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,9,9,94.38,9.3,XGB,KGroups_max++,mutual_info,False,0:03:15.507075,0:03:16.910027
CLL_SUB_111,76,65,81.07,5.029999999999999,XGB,KGroups_max++,mutual_info,False,0:04:15.161339,0:04:17.003105
Carcinom,70,62,86.74,4.569999999999999,XGB,KGroups_max++,mutual_info,False,0:05:51.275247,0:05:53.666564
GLIOMA,88,75,84.0,11.4,XGB,KGroups_max++,mutual_info,False,0:03:29.590211,0:03:31.090626
GLI_85,27,25,95.29,4.92,XGB,KGroups_max++,mutual_info,False,0:03:35.464259,0:03:37.023648
Prostate_GE,13,12,94.1,8.89,XGB,KGroups_max++,mutual_info,False,0:03:28.696021,0:03:30.231209
SMK_CAN_187,94,77,72.72,14.08,XGB,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786
TOX_171,70,55,62.0,8.98,XGB,KGroups_max++,mutual_info,False,0:05:13.899670,0:05:16.118439
colon,25,24,90.13,9.16,XGB,KGroups_max++,mutual_info,False,0:03:15.327320,0:03:16.741707
leukemia,17,16,100.0,0.0,XGB,KGroups_max++,mutual_info,False,0:03:07.683509,0:03:09.045453
lung,78,66,93.62,4.09,XGB,KGroups_max++,mutual_info,False,0:05:16.867954,0:05:19.123225
lung_discrete,98,70,83.71,9.95,XGB,KGroups_max++,mutual_info,False,0:03:45.819247,0:03:47.413192
lymphoma,35,34,82.32000000000001,6.959999999999999,XGB,KGroups_max++,mutual_info,False,0:04:10.107094,0:04:11.862448
nci9,29,29,48.33,18.07,XGB,KGroups_max++,mutual_info,False,0:04:04.485946,0:04:06.162519
