fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0052,0.0001,63.580000000000005,12.8,80.88,2.34,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0001,0.0019,0.0001,72.76,11.08,75.67,3.11,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1602,0.0014,0.0095,0.0005,66.79,9.49,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0313,0.001,0.004,0.0001,67.84,9.02,100.0,0.0,XGB,2,2,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1339,0.0049,0.0023,0.0001,71.65,8.77,75.66000000000001,3.05,MLP,2,2,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0022,0.0,0.0019,0.0,70.04,14.34,74.6,2.07,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.005,0.0,67.33,12.049999999999999,77.8,3.17,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0001,0.0018,0.0001,70.6,11.58,74.46000000000001,2.1,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1584,0.0006,0.0093,0.0006,69.43,13.99,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0329,0.0012,0.0042,0.0001,69.99,12.389999999999999,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1422,0.0006,0.0023,0.0,70.06,13.200000000000001,76.47,2.08,MLP,3,3,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0022,0.0,0.0019,0.0,72.2,12.3,73.92999999999999,1.9800000000000002,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.005,0.0001,65.7,12.49,79.67999999999999,3.17,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0001,0.0019,0.0001,73.78,5.88,75.13,2.82,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1645,0.0012,0.0093,0.0008,67.84,16.8,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0337,0.0014,0.0044,0.0001,69.96,11.42,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1446,0.0009,0.0025,0.0,71.61,9.229999999999999,78.47,1.6199999999999999,MLP,4,4,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0001,0.0019,0.0,65.22,14.01,71.53,3.2,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.0051,0.0001,66.22,13.8,78.61,3.37,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0001,0.0019,0.0,70.0,11.62,75.53,2.5700000000000003,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1642,0.0008,0.0099,0.0,69.47,17.86,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0354,0.001,0.0045,0.0001,66.75999999999999,12.08,100.0,0.0,XGB,5,5,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1444,0.0004,0.0025,0.0,68.92,12.920000000000002,79.14,3.37,MLP,5,5,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0022,0.0,0.0019,0.0,70.03,12.16,74.07000000000001,2.83,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.005,0.0001,66.79,11.99,78.61,1.29,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0001,0.0019,0.0,68.95,13.81,75.27000000000001,1.46,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1636,0.0007,0.0089,0.0006,70.00999999999999,16.02,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0365,0.0012,0.0046,0.0,68.96,9.15,100.0,0.0,XGB,6,6,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1452,0.0003,0.0025,0.0,68.96,9.2,81.15,1.25,MLP,6,6,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0022,0.0,0.0019,0.0,70.03,16.470000000000002,74.86,3.7699999999999996,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0022,0.0001,0.0049,0.0001,64.13,10.17,79.41,1.7399999999999998,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.0019,0.0,68.47999999999999,10.26,75.13,1.78,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1633,0.0005,0.0098,0.0001,67.88,13.56,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0369,0.0009,0.0047,0.0001,67.91,7.88,100.0,0.0,XGB,7,7,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1456,0.0008,0.0025,0.0001,67.95,11.04,81.02000000000001,0.38,MLP,7,7,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0021,0.0,0.0019,0.0,68.46,18.64,68.58,3.8600000000000003,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0022,0.0001,0.0048,0.0001,63.629999999999995,12.590000000000002,82.09,3.58,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.0019,0.0,70.06,15.49,76.74,2.74,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1627,0.0006,0.0097,0.0,69.0,17.41,100.0,0.0,RandomForest,8,8,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0381,0.0013,0.0049,0.0001,66.83,12.6,100.0,0.0,XGB,8,8,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1469,0.0002,0.0025,0.0,66.84,13.450000000000001,86.77,1.35,MLP,8,8,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0021,0.0,0.0019,0.0,67.92,18.87,72.86,4.29,GaussianNB,8,8,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0022,0.0001,0.0048,0.0001,66.8,14.879999999999999,79.27,4.29,KNeighbors,9,9,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0001,0.0019,0.0,72.16,13.569999999999999,78.07,4.95,LinearSVC,9,9,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1704,0.0017,0.0092,0.0009,70.04,14.27,100.0,0.0,RandomForest,9,9,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.042,0.0021,0.0055,0.0001,66.83,12.520000000000001,100.0,0.0,XGB,9,9,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1495,0.0004,0.0026,0.0,70.04,12.920000000000002,84.36,2.59,MLP,9,9,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.002,0.0,70.07,17.21,74.33,3.44,GaussianNB,9,9,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0,0.0054,0.0001,67.91,13.889999999999999,81.81,3.7199999999999998,KNeighbors,10,10,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0027,0.0001,0.0021,0.0001,68.49,16.0,77.13,3.47,LinearSVC,10,10,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1721,0.0007,0.01,0.0001,65.25,15.190000000000001,100.0,0.0,RandomForest,10,10,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0425,0.0021,0.0059,0.0001,63.04,12.55,100.0,0.0,XGB,10,10,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1491,0.0003,0.0026,0.0,65.79,13.5,89.17,1.7500000000000002,MLP,10,10,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.002,0.0,68.41000000000001,19.2,70.59,4.12,GaussianNB,10,10,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0,0.0054,0.0001,73.74000000000001,11.62,82.62,3.09,KNeighbors,11,11,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0027,0.0001,0.002,0.0,69.49,17.05,76.73,6.22,LinearSVC,11,11,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1728,0.0011,0.0101,0.0001,72.15,19.06,100.0,0.0,RandomForest,11,11,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0443,0.0021,0.0061,0.0001,65.75,11.74,100.0,0.0,XGB,11,11,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1514,0.0004,0.0026,0.0,69.46,14.75,88.23,2.41,MLP,11,11,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0001,0.002,0.0,68.97999999999999,18.18,72.46000000000001,3.7699999999999996,GaussianNB,11,11,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0,0.0054,0.0001,68.95,11.92,79.81,1.82,KNeighbors,12,12,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0027,0.0001,0.002,0.0,72.18,14.680000000000001,78.86999999999999,3.9600000000000004,LinearSVC,12,12,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1716,0.0009,0.0094,0.0008,65.22,13.83,100.0,0.0,RandomForest,12,12,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0472,0.0029,0.0063,0.0001,63.04,11.16,100.0,0.0,XGB,12,12,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1513,0.0003,0.0026,0.0,68.97999999999999,12.629999999999999,89.03999999999999,1.31,MLP,12,12,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0001,0.002,0.0,69.5,19.8,73.66,3.8899999999999997,GaussianNB,12,12,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0026,0.0001,0.0054,0.0001,66.81,7.9,82.21000000000001,1.7999999999999998,KNeighbors,13,13,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0028,0.0001,0.0021,0.0001,70.04,14.34,78.47,4.26,LinearSVC,13,13,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1726,0.001,0.0102,0.0001,66.27,15.02,100.0,0.0,RandomForest,13,13,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0486,0.0022,0.0066,0.0002,65.22,7.470000000000001,100.0,0.0,XGB,13,13,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.152,0.0006,0.0026,0.0,67.4,10.83,91.31,0.67,MLP,13,13,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0001,0.0021,0.0002,67.91,18.970000000000002,71.13000000000001,4.1000000000000005,GaussianNB,13,13,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0026,0.0,0.0055,0.0001,67.36999999999999,12.93,80.61,3.5700000000000003,KNeighbors,14,14,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0028,0.0001,0.0021,0.0001,70.58,15.14,78.61,4.09,LinearSVC,14,14,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1722,0.0011,0.0102,0.0001,68.42,19.21,100.0,0.0,RandomForest,14,14,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0492,0.0017,0.0067,0.0001,60.42999999999999,10.96,100.0,0.0,XGB,14,14,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1535,0.0006,0.0027,0.0,67.36999999999999,13.209999999999999,91.84,1.2,MLP,14,14,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0025,0.0001,0.0021,0.0,71.11,18.790000000000003,72.45,5.27,GaussianNB,14,14,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0026,0.0,0.0054,0.0001,67.35,9.9,79.67999999999999,3.75,KNeighbors,15,15,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0028,0.0001,0.0021,0.0001,70.07,17.0,79.14,4.8500000000000005,LinearSVC,15,15,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1733,0.001,0.0101,0.0,70.00999999999999,18.970000000000002,100.0,0.0,RandomForest,15,15,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0511,0.0043,0.0069,0.0001,67.34,10.59,100.0,0.0,XGB,15,15,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1539,0.0003,0.0026,0.0,70.06,14.77,90.24,1.6199999999999999,MLP,15,15,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0001,0.0021,0.0,68.96,19.53,72.86,4.53,GaussianNB,15,15,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.0053,0.0001,64.14999999999999,8.57,83.16,3.29,KNeighbors,16,16,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0029,0.0,0.0021,0.0,66.86,13.780000000000001,78.2,4.0,LinearSVC,16,16,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1785,0.0024,0.0102,0.0001,67.33,16.53,100.0,0.0,RandomForest,16,16,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0503,0.0021,0.007,0.0001,65.25,10.879999999999999,100.0,0.0,XGB,16,16,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1547,0.0005,0.0026,0.0,66.86,12.590000000000002,92.65,1.25,MLP,16,16,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.002,0.0,69.49,19.79,73.26,3.7699999999999996,GaussianNB,16,16,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.0051,0.0001,66.81,8.73,79.41,5.489999999999999,KNeighbors,17,17,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0028,0.0001,0.002,0.0001,68.46,16.08,80.74,4.18,LinearSVC,17,17,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1763,0.001,0.0096,0.0007,68.42,16.77,100.0,0.0,RandomForest,17,17,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0542,0.0029,0.0073,0.0002,68.97999999999999,12.97,100.0,0.0,XGB,17,17,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1556,0.0005,0.0024,0.0,66.32000000000001,10.63,95.32000000000001,2.12,MLP,17,17,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.002,0.0,71.11,17.45,74.06,3.65,GaussianNB,17,17,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.0053,0.0001,66.84,9.98,81.28999999999999,2.19,KNeighbors,18,18,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0029,0.0001,0.002,0.0,70.07,18.47,79.67,3.5900000000000003,LinearSVC,18,18,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.179,0.0015,0.0102,0.0001,67.35,14.149999999999999,100.0,0.0,RandomForest,18,18,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0538,0.0026,0.0076,0.0002,66.27,11.42,100.0,0.0,XGB,18,18,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1568,0.0008,0.0026,0.0,65.79,12.44,94.78,1.7399999999999998,MLP,18,18,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0,0.0021,0.0,70.61,18.93,73.92999999999999,4.5,GaussianNB,18,18,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.0052,0.0001,65.73,10.4,81.02000000000001,2.19,KNeighbors,19,19,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0029,0.0001,0.0021,0.0001,64.75,11.35,82.08,2.5,LinearSVC,19,19,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1766,0.0013,0.0101,0.0,68.95,16.34,100.0,0.0,RandomForest,19,19,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.056,0.0025,0.0076,0.0001,65.8,10.94,100.0,0.0,XGB,19,19,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.1563,0.0006,0.0026,0.0,68.46,11.85,94.78,1.68,MLP,19,19,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0024,0.0001,0.0021,0.0001,70.6,19.09,74.06,3.7699999999999996,GaussianNB,19,19,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
0.0023,0.0,0.0052,0.0,65.23,12.030000000000001,81.55,3.46,KNeighbors,20,20,KGroups_max++,mutual_info,False,0:04:40.858115,0:04:42.880786,SMK_CAN_187
