fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,42.57,6.4,46.58,2.5100000000000002,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0024,0.0001,0.0018,0.0,39.71,9.77,44.519999999999996,3.47,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.1358,0.0005,0.0082,0.0,34.1,10.14,48.64,2.1399999999999997,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0468,0.0005,0.003,0.0001,42.57,6.4,48.64,2.1399999999999997,XGB,2,2,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0986,0.0003,0.0021,0.0001,41.14,4.97,47.260000000000005,1.6400000000000001,MLP,2,2,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0023,0.0,0.002,0.0,31.81,10.45,36.95,5.9799999999999995,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.002,0.0001,0.0036,0.0001,56.379999999999995,10.35,69.54,3.29,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0024,0.0,0.0018,0.0001,67.14,5.390000000000001,67.46,2.13,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.1373,0.0002,0.0083,0.0001,59.050000000000004,10.01,72.61,3.0700000000000003,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0491,0.0007,0.0032,0.0001,61.71,9.879999999999999,72.61,3.0700000000000003,XGB,3,3,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.101,0.0003,0.0021,0.0001,64.48,6.75,69.53,2.0,MLP,3,3,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0023,0.0,0.0019,0.0001,53.620000000000005,8.83,61.27,6.15,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.002,0.0001,0.0036,0.0001,35.52,14.09,57.53,1.6099999999999999,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0025,0.0,0.0019,0.0001,38.190000000000005,11.82,51.01,2.92,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.1379,0.0004,0.0083,0.0001,38.190000000000005,9.42,66.79,1.37,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0522,0.0007,0.0034,0.0001,38.190000000000005,13.569999999999999,66.79,1.37,XGB,4,4,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.1015,0.0003,0.0021,0.0001,39.81,3.8899999999999997,64.03999999999999,2.01,MLP,4,4,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0024,0.0,0.002,0.0,35.809999999999995,8.43,44.83,5.91,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.002,0.0,0.0037,0.0001,56.00000000000001,7.23,70.87,2.94,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0025,0.0,0.0019,0.0001,56.10000000000001,4.37,73.28,3.64,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.1384,0.0003,0.0083,0.0,63.05,9.879999999999999,93.49,1.46,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0501,0.0014,0.0036,0.0,61.62,10.17,93.49,1.46,XGB,5,5,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.105,0.0003,0.0021,0.0,60.19,6.11,86.28,2.81,MLP,5,5,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
0.0023,0.0,0.002,0.0,46.29,13.489999999999998,68.83,7.3,GaussianNB,5,5,KGroups_max,mutual_info,False,0:03:20.087411,0:03:21.338647,lung_discrete
