fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,21.67,9.5,28.33,1.1400000000000001,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0024,0.0,0.0018,0.0,16.669999999999998,5.89,27.08,1.47,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1356,0.0005,0.0081,0.0001,23.330000000000002,6.97,34.58,1.1400000000000001,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.049,0.002,0.003,0.0001,21.67,7.449999999999999,34.17,1.8599999999999999,XGB,2,2,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0948,0.0001,0.0021,0.0,23.330000000000002,3.73,34.17,1.1400000000000001,MLP,2,2,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0024,0.0,0.002,0.0,20.0,15.14,28.749999999999996,2.7199999999999998,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.002,0.0001,0.0035,0.0001,16.669999999999998,5.89,20.0,2.3800000000000003,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0025,0.0,0.0018,0.0,13.33,4.5600000000000005,26.25,1.1400000000000001,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1356,0.0002,0.0083,0.0001,13.33,4.5600000000000005,26.25,1.1400000000000001,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0451,0.0018,0.0032,0.0001,11.67,4.5600000000000005,24.169999999999998,2.3800000000000003,XGB,3,3,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0912,0.0041,0.0021,0.0,13.33,4.5600000000000005,26.25,1.1400000000000001,MLP,3,3,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0024,0.0,0.002,0.0,18.33,3.73,26.25,1.1400000000000001,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.002,0.0001,0.0035,0.0001,26.669999999999998,6.97,37.92,5.390000000000001,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0026,0.0001,0.0018,0.0,30.0,4.5600000000000005,35.0,1.7399999999999998,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1368,0.0002,0.0082,0.0,30.0,4.5600000000000005,51.67,2.7199999999999998,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0574,0.0009,0.0035,0.0002,33.33,5.89,47.5,3.42,XGB,4,4,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0989,0.0004,0.0021,0.0,33.33,5.89,50.42,3.73,MLP,4,4,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0024,0.0,0.002,0.0,25.0,11.790000000000001,38.75,2.8000000000000003,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.002,0.0001,0.0036,0.0001,21.67,7.449999999999999,33.75,4.52,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0026,0.0,0.0018,0.0001,25.0,5.89,42.5,2.3800000000000003,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1368,0.0003,0.0083,0.0001,23.330000000000002,6.97,47.08,4.06,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0579,0.0022,0.0035,0.0001,23.330000000000002,10.870000000000001,44.17,3.42,XGB,5,5,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0988,0.0004,0.0022,0.0001,25.0,8.33,47.08,4.06,MLP,5,5,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0025,0.0,0.002,0.0,16.669999999999998,11.790000000000001,32.08,1.8599999999999999,GaussianNB,5,5,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0021,0.0001,0.0036,0.0001,18.33,3.73,37.08,2.7199999999999998,KNeighbors,6,6,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0026,0.0,0.0019,0.0001,23.330000000000002,9.13,44.17,4.52,LinearSVC,6,6,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1376,0.0003,0.0083,0.0001,20.0,17.28,55.83,2.7199999999999998,RandomForest,6,6,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0591,0.002,0.0037,0.0001,30.0,9.5,50.42,0.9299999999999999,XGB,6,6,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1004,0.0004,0.0022,0.0002,21.67,13.94,55.42,3.16,MLP,6,6,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0025,0.0,0.002,0.0,15.0,6.97,32.92,7.57,GaussianNB,6,6,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0021,0.0001,0.0036,0.0001,28.33,13.94,46.67,6.69,KNeighbors,7,7,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0027,0.0,0.0019,0.0001,25.0,8.33,47.5,5.970000000000001,LinearSVC,7,7,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1384,0.0003,0.0082,0.0001,21.67,4.5600000000000005,75.83,3.16,RandomForest,7,7,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0633,0.0015,0.004,0.0001,20.0,4.5600000000000005,63.74999999999999,3.16,XGB,7,7,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1024,0.0004,0.0021,0.0001,30.0,7.449999999999999,75.42,3.42,MLP,7,7,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0024,0.0,0.0019,0.0,20.0,9.5,40.0,7.13,GaussianNB,7,7,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0021,0.0001,0.0036,0.0001,40.0,6.97,54.58,3.73,KNeighbors,8,8,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0028,0.0,0.0019,0.0001,40.0,3.73,55.83,4.52,LinearSVC,8,8,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1388,0.0007,0.0083,0.0002,33.33,11.790000000000001,81.67,2.2800000000000002,RandomForest,8,8,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0636,0.0008,0.0041,0.0001,36.67,7.449999999999999,77.92,3.16,XGB,8,8,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1037,0.0003,0.0021,0.0,31.669999999999998,6.97,79.58,1.7399999999999998,MLP,8,8,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0025,0.0,0.002,0.0,28.33,4.5600000000000005,46.25,3.42,GaussianNB,8,8,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0021,0.0001,0.0036,0.0001,28.33,18.26,47.92,1.47,KNeighbors,9,9,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0029,0.0001,0.0019,0.0001,31.669999999999998,6.97,69.58,3.16,LinearSVC,9,9,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.139,0.0004,0.0084,0.0002,28.33,4.5600000000000005,86.67,1.8599999999999999,RandomForest,9,9,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0646,0.001,0.0042,0.0001,28.33,7.449999999999999,84.17,4.06,XGB,9,9,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1045,0.0003,0.0021,0.0,30.0,11.18,83.33,3.29,MLP,9,9,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0025,0.0,0.002,0.0,16.669999999999998,13.18,45.42,4.75,GaussianNB,9,9,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0021,0.0001,0.0036,0.0,28.33,7.449999999999999,49.58,5.970000000000001,KNeighbors,10,10,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0029,0.0,0.0019,0.0001,23.330000000000002,6.97,56.67,4.97,LinearSVC,10,10,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.1393,0.0002,0.0084,0.0002,23.330000000000002,10.870000000000001,93.33,2.2800000000000002,RandomForest,10,10,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
0.0663,0.0009,0.0045,0.0001,16.669999999999998,10.209999999999999,89.17,1.7399999999999998,XGB,10,10,KGroups_max,mutual_info,False,0:03:35.547814,0:03:36.759430,nci9
