dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,77,40,97.24,3.790000000000001,GaussianNB,KGroups_max,Fvalue,False,0:03:09.689666,0:03:11.121658
CLL_SUB_111,4,4,61.34,11.83,GaussianNB,KGroups_max,Fvalue,False,0:03:58.571751,0:04:00.433852
Carcinom,79,7,33.31,2.97,GaussianNB,KGroups_max,Fvalue,False,0:04:29.398951,0:04:31.352780
GLIOMA,99,39,78.0,4.47,GaussianNB,KGroups_max,Fvalue,False,0:03:15.971677,0:03:17.420842
GLI_85,22,21,95.29,2.63,GaussianNB,KGroups_max,Fvalue,False,0:03:30.595405,0:03:32.162588
Prostate_GE,9,8,95.1,6.99,GaussianNB,KGroups_max,Fvalue,False,0:03:22.797565,0:03:24.319588
SMK_CAN_187,59,53,72.72,13.91,GaussianNB,KGroups_max,Fvalue,False,0:04:42.764415,0:04:44.866318
TOX_171,49,34,65.53,7.380000000000001,GaussianNB,KGroups_max,Fvalue,False,0:04:54.709681,0:04:56.833246
colon,19,16,90.13,13.72,GaussianNB,KGroups_max,Fvalue,False,0:03:12.355372,0:03:13.798632
leukemia,15,9,98.67,2.98,GaussianNB,KGroups_max,Fvalue,False,0:03:02.391337,0:03:03.761488
lung,91,45,85.71,5.7,GaussianNB,KGroups_max,Fvalue,False,0:04:34.700476,0:04:36.733650
lung_discrete,18,17,76.75999999999999,7.39,GaussianNB,KGroups_max,Fvalue,False,0:03:41.951897,0:03:43.622137
lymphoma,17,17,76.11,9.28,GaussianNB,KGroups_max,Fvalue,False,0:04:03.413370,0:04:05.172680
nci9,2,2,21.67,4.5600000000000005,GaussianNB,KGroups_max,Fvalue,False,0:03:07.688394,0:03:09.040896
