dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,41,40,95.9,3.74,KNeighbors,KGroups_max,cosine_sim,False,0:03:15.514468,0:03:16.948907
CLL_SUB_111,39,39,71.3,11.19,KNeighbors,KGroups_max,cosine_sim,False,0:04:27.211931,0:04:29.203688
Carcinom,55,55,74.11999999999999,6.49,KNeighbors,KGroups_max,cosine_sim,False,0:06:20.007623,0:06:22.614745
GLIOMA,53,53,86.0,11.4,KNeighbors,KGroups_max,cosine_sim,False,0:03:30.654567,0:03:32.241045
GLI_85,43,43,94.12,4.16,KNeighbors,KGroups_max,cosine_sim,False,0:03:34.944297,0:03:36.545819
Prostate_GE,20,20,94.14,8.02,KNeighbors,KGroups_max,cosine_sim,False,0:03:36.447929,0:03:38.061101
SMK_CAN_187,22,22,70.57,16.48,KNeighbors,KGroups_max,cosine_sim,False,0:04:50.267830,0:04:52.476056
TOX_171,73,73,60.25,4.68,KNeighbors,KGroups_max,cosine_sim,False,0:11:29.852032,0:02:16.830015
colon,52,52,90.0,10.87,KNeighbors,KGroups_max,cosine_sim,False,0:03:18.793233,0:03:20.283149
leukemia,22,22,100.0,0.0,KNeighbors,KGroups_max,cosine_sim,False,0:03:09.811565,0:03:11.195258
lung,98,98,95.56,1.12,KNeighbors,KGroups_max,cosine_sim,False,0:05:35.056017,0:05:37.448086
lung_discrete,100,87,87.71,5.54,KNeighbors,KGroups_max,cosine_sim,False,0:03:46.774144,0:03:48.425825
lymphoma,57,57,88.47,5.84,KNeighbors,KGroups_max,cosine_sim,False,0:04:11.259733,0:04:13.071436
nci9,73,73,55.00000000000001,11.18,KNeighbors,KGroups_max,cosine_sim,False,0:04:01.866580,0:04:03.590893
