dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,7,7,94.38,9.3,XGB,KGroups_max,cosine_sim,False,0:03:15.514468,0:03:16.948907
CLL_SUB_111,66,66,79.33,3.61,XGB,KGroups_max,cosine_sim,False,0:04:27.211931,0:04:29.203688
Carcinom,88,88,77.56,4.84,XGB,KGroups_max,cosine_sim,False,0:06:20.007623,0:06:22.614745
GLIOMA,12,12,84.0,11.4,XGB,KGroups_max,cosine_sim,False,0:03:30.654567,0:03:32.241045
GLI_85,87,86,92.94,7.670000000000001,XGB,KGroups_max,cosine_sim,False,0:03:34.944297,0:03:36.545819
Prostate_GE,9,9,94.05,8.219999999999999,XGB,KGroups_max,cosine_sim,False,0:03:36.447929,0:03:38.061101
SMK_CAN_187,66,65,67.36999999999999,13.38,XGB,KGroups_max,cosine_sim,False,0:04:50.267830,0:04:52.476056
TOX_171,2,2,31.630000000000003,10.82,XGB,KGroups_max,cosine_sim,False,0:11:29.852032,0:02:16.830015
colon,29,28,90.13,7.02,XGB,KGroups_max,cosine_sim,False,0:03:18.793233,0:03:20.283149
leukemia,17,17,98.67,2.98,XGB,KGroups_max,cosine_sim,False,0:03:09.811565,0:03:11.195258
lung,98,98,96.04,3.790000000000001,XGB,KGroups_max,cosine_sim,False,0:05:35.056017,0:05:37.448086
lung_discrete,25,24,84.95,7.23,XGB,KGroups_max,cosine_sim,False,0:03:46.774144,0:03:48.425825
lymphoma,40,40,86.47,2.76,XGB,KGroups_max,cosine_sim,False,0:04:11.259733,0:04:13.071436
nci9,49,49,55.00000000000001,9.5,XGB,KGroups_max,cosine_sim,False,0:04:01.866580,0:04:03.590893
