fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0054,0.0001,81.77,4.45,86.57000000000001,1.13,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0028,0.0001,0.0019,0.0,78.83,2.07,79.43,0.7000000000000001,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.1609,0.0005,0.0101,0.0002,84.21,3.8699999999999997,99.88,0.27999999999999997,RandomForest,2,2,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.073,0.002,0.0043,0.0001,78.29,4.95,100.0,0.0,XGB,2,2,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.1411,0.0012,0.0026,0.0001,82.72,5.08,84.85000000000001,1.51,MLP,2,2,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0024,0.0,0.002,0.0,84.23,5.08,86.08,1.23,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0025,0.0,0.0054,0.0001,87.18,2.12,90.52,2.04,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.003,0.0001,0.002,0.0001,82.26,1.27,84.23,0.97,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.1625,0.0008,0.0101,0.0001,87.13,7.4399999999999995,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0684,0.0012,0.0046,0.0002,88.16000000000001,4.79,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.1447,0.0013,0.0026,0.0,86.7,2.22,87.92999999999999,0.9400000000000001,MLP,3,3,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0024,0.0,0.0019,0.0001,86.66,5.52,88.79,0.8099999999999999,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0024,0.0,0.0053,0.0001,86.18,2.9499999999999997,90.27,1.8900000000000001,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0028,0.0001,0.002,0.0001,82.27,2.0,84.36,0.52,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.1678,0.0005,0.0101,0.0001,87.13,7.4399999999999995,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.0682,0.0028,0.0047,0.0001,88.64999999999999,6.21,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
0.1492,0.0003,0.0026,0.0001,85.71,4.390000000000001,88.3,0.77,MLP,4,4,KGroups_max++,gini_importance,False,0:04:39.976641,0:04:41.939702,lung
