fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0039,0.0001,37.53,14.180000000000001,45.33,4.61,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0025,0.0,0.0018,0.0001,60.370000000000005,3.45,60.41,0.88,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1476,0.0002,0.0094,0.0,56.16,9.22,62.239999999999995,1.71,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.073,0.0009,0.0039,0.0001,58.26,6.859999999999999,62.239999999999995,1.71,XGB,2,2,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1041,0.0002,0.0024,0.0,59.31999999999999,4.89,61.72,1.27,MLP,2,2,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0024,0.0,0.0019,0.0,29.26,13.889999999999999,36.46,3.1399999999999997,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0021,0.0001,0.0039,0.0001,47.949999999999996,12.659999999999998,53.93,5.7299999999999995,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0025,0.0,0.0019,0.0,62.470000000000006,6.98,68.24,2.86,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1484,0.0003,0.0094,0.0001,64.58,5.74,72.66,1.22,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0798,0.0021,0.0041,0.0001,65.63,5.89,72.66,1.22,XGB,3,3,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1068,0.0002,0.0023,0.0001,61.419999999999995,8.95,70.32000000000001,3.0,MLP,3,3,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0024,0.0,0.0019,0.0,48.05,14.030000000000001,54.169999999999995,2.34,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0021,0.0001,0.0038,0.0001,55.26,5.26,61.46,1.32,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0026,0.0,0.0019,0.0,65.63,7.9,72.66,1.46,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.151,0.0015,0.0097,0.0002,64.53,6.09,81.25,1.77,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0872,0.0031,0.0047,0.0001,67.58,9.74,80.99,1.51,XGB,4,4,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1108,0.0002,0.0025,0.0001,66.67999999999999,5.81,76.3,1.17,MLP,4,4,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0026,0.0001,0.0021,0.0,51.21,16.82,58.599999999999994,2.1999999999999997,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0023,0.0,0.0044,0.0002,60.58,9.74,72.66,1.72,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0029,0.0,0.002,0.0,67.74,5.48,81.51,1.6400000000000001,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1519,0.0003,0.0098,0.0,65.74,8.81,82.80999999999999,1.69,RandomForest,5,5,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.086,0.0023,0.0049,0.0001,70.89,6.61,82.80999999999999,1.69,XGB,5,5,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1135,0.0004,0.0026,0.0,66.67999999999999,2.4699999999999998,81.77,1.55,MLP,5,5,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0026,0.0,0.0021,0.0,48.11,10.780000000000001,64.34,3.09,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0024,0.0,0.0044,0.0001,59.47,11.41,67.2,2.98,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0031,0.0001,0.0021,0.0,68.67999999999999,10.71,80.46,3.11,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1538,0.0003,0.0099,0.0,62.470000000000006,7.91,89.32,1.1199999999999999,RandomForest,6,6,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0954,0.0044,0.0051,0.0001,66.58,9.1,89.05999999999999,1.54,XGB,6,6,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1143,0.0003,0.0026,0.0002,63.470000000000006,8.6,83.84,2.45,MLP,6,6,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0026,0.0,0.0021,0.0,53.32,12.1,67.45,2.33,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0023,0.0001,0.0043,0.0001,59.53000000000001,11.63,73.18,2.4699999999999998,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0032,0.0001,0.0021,0.0,70.95,8.89,86.72,1.4200000000000002,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1524,0.0003,0.0098,0.0001,67.78999999999999,7.199999999999999,91.41,1.15,RandomForest,7,7,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0908,0.0021,0.0054,0.0001,68.84,6.72,91.41,1.15,XGB,7,7,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1155,0.0004,0.0026,0.0002,67.84,9.28,87.25,1.6500000000000001,MLP,7,7,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0026,0.0,0.0021,0.0,61.629999999999995,13.28,72.92,4.2299999999999995,GaussianNB,7,7,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0024,0.0,0.0044,0.0001,61.47,12.58,71.09,1.08,KNeighbors,8,8,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0033,0.0001,0.002,0.0001,62.470000000000006,13.68,85.15,2.74,LinearSVC,8,8,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1536,0.0006,0.0099,0.0,66.63,12.21,94.78999999999999,1.59,RandomForest,8,8,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0911,0.0017,0.0056,0.0001,66.58,9.1,94.53,1.69,XGB,8,8,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1158,0.0005,0.0026,0.0,65.53,14.430000000000001,88.53999999999999,1.0999999999999999,MLP,8,8,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0026,0.0,0.0021,0.0,51.21,13.120000000000001,71.35000000000001,5.28,GaussianNB,8,8,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0024,0.0,0.0045,0.0001,65.74,8.81,73.44000000000001,2.26,KNeighbors,9,9,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0035,0.0001,0.0022,0.0001,67.78999999999999,12.75,89.05999999999999,2.35,LinearSVC,9,9,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1547,0.0006,0.0099,0.0,65.74,11.53,95.83,1.08,RandomForest,9,9,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0896,0.0021,0.0057,0.0001,67.84,13.01,95.83,1.08,XGB,9,9,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1163,0.0003,0.0026,0.0,64.63,11.76,90.62,2.18,MLP,9,9,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0026,0.0,0.0021,0.0,57.42,12.879999999999999,74.49,5.94,GaussianNB,9,9,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0023,0.0,0.0044,0.0001,69.74000000000001,10.280000000000001,77.86999999999999,1.23,KNeighbors,10,10,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0034,0.0001,0.0021,0.0001,68.84,10.03,92.45,1.39,LinearSVC,10,10,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1536,0.0003,0.0098,0.0001,65.63,7.9,95.83,1.08,RandomForest,10,10,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.0944,0.0019,0.0061,0.0001,73.95,6.47,95.83,1.08,XGB,10,10,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
0.1174,0.0003,0.0026,0.0,74.89,8.870000000000001,93.76,1.4000000000000001,MLP,10,10,KGroups_max++,gini_importance,False,0:03:57.487921,0:03:59.101939,lymphoma
