fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0036,0.0001,69.23,10.66,79.05,2.87,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0022,0.0,0.0018,0.0,82.31,6.64,83.08,2.17,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.1474,0.0002,0.0097,0.0,80.64,4.36,84.28,0.8200000000000001,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0205,0.0015,0.004,0.0001,83.97,5.25,83.88,1.32,XGB,2,2,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0898,0.0005,0.0025,0.0,80.64,4.36,84.28,0.8200000000000001,MLP,2,2,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0022,0.0001,0.0019,0.0,82.31,6.64,82.26,1.63,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0,0.0041,0.0001,77.44,6.43,83.47,1.67,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0025,0.0,0.0019,0.0,78.97,4.65,83.88,1.32,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.1472,0.0004,0.0097,0.0001,80.77,3.51,85.89,0.16,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0227,0.0006,0.0043,0.0002,77.31,4.17,85.49,0.84,XGB,3,3,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0917,0.0004,0.0025,0.0001,77.31,4.17,84.28,0.8200000000000001,MLP,3,3,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0022,0.0,0.0019,0.0,77.44,3.4299999999999997,83.08,1.6400000000000001,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0001,0.0041,0.0001,85.50999999999999,3.5000000000000004,86.69,1.21,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0025,0.0,0.0019,0.0,83.85000000000001,5.48,88.69,1.9300000000000002,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.1478,0.0005,0.0097,0.0,83.72,6.140000000000001,91.11,2.39,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0227,0.0003,0.0044,0.0001,78.85,11.48,89.91,1.5,XGB,4,4,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0948,0.0004,0.0025,0.0001,83.85000000000001,0.7000000000000001,89.91,1.5,MLP,4,4,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0001,0.0019,0.0,83.72,10.35,86.69,2.34,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0001,0.0041,0.0001,80.77,6.859999999999999,85.45,3.7600000000000002,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0025,0.0,0.0019,0.0,85.38,7.07,85.49,0.84,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.1486,0.0008,0.0097,0.0002,82.05,7.290000000000001,93.93,2.08,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0234,0.0002,0.0045,0.0001,80.51,5.06,91.93,1.49,XGB,5,5,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0949,0.0007,0.0025,0.0,82.05,9.379999999999999,89.92,0.11,MLP,5,5,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0001,0.002,0.0,83.72,8.51,84.68,1.09,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0,0.0041,0.0001,79.23,8.58,84.65,3.5000000000000004,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0025,0.0,0.0019,0.0001,83.72,10.35,85.07000000000001,1.9300000000000002,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.1496,0.001,0.0099,0.0001,85.26,9.09,95.15,1.16,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0248,0.0005,0.0049,0.0001,80.51,5.06,91.93,1.49,XGB,6,6,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0967,0.0003,0.0025,0.0001,80.38,9.82,89.92,1.4200000000000002,MLP,6,6,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0,0.0019,0.0,83.72,8.51,84.68,1.79,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0,0.0041,0.0001,83.72,6.140000000000001,84.26,1.83,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0026,0.0001,0.002,0.0,80.38,17.46,87.5,1.67,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.1489,0.0005,0.0098,0.0001,82.17999999999999,11.61,95.56,0.9400000000000001,RandomForest,7,7,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0251,0.0006,0.0051,0.0001,77.05,16.32,92.73,1.16,XGB,7,7,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0975,0.0004,0.0026,0.0001,78.72,11.52,90.73,1.09,MLP,7,7,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0023,0.0,0.002,0.0,80.38,12.879999999999999,84.28,2.6100000000000003,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0024,0.0,0.0042,0.0001,82.17999999999999,4.06,85.08,2.3,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0025,0.0001,0.0019,0.0001,80.38,9.82,87.49,1.73,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.1484,0.0004,0.0097,0.0,83.72,6.140000000000001,98.38,0.8999999999999999,RandomForest,8,8,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
0.0255,0.0003,0.0053,0.0001,82.17999999999999,4.06,94.76,1.0999999999999999,XGB,8,8,KGroups_max++,mutual_info,False,0:03:16.103871,0:03:17.501936,colon
