fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0041,0.0001,93.14,4.72,94.45,0.75,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0025,0.0001,0.0019,0.0,93.14,4.72,94.11,1.94,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1493,0.0002,0.0097,0.0,93.14,4.72,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0192,0.0008,0.004,0.0001,94.57,5.609999999999999,97.57000000000001,0.9299999999999999,XGB,2,2,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0979,0.0004,0.0025,0.0001,94.48,3.1,95.84,0.9199999999999999,MLP,2,2,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0001,0.0019,0.0,93.14,4.72,94.45,1.4200000000000002,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0001,0.004,0.0001,95.81,3.83,96.53,1.24,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0024,0.0,0.0019,0.0,97.24000000000001,3.7900000000000005,97.92,1.46,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1487,0.0002,0.0094,0.0005,91.71000000000001,5.79,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0182,0.0003,0.004,0.0001,96.0,5.96,99.31,0.9400000000000001,XGB,3,3,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1002,0.0002,0.0025,0.0,97.24000000000001,3.7900000000000005,97.57000000000001,0.96,MLP,3,3,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0001,0.0019,0.0,98.67,2.98,98.61,0.77,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0001,0.004,0.0001,95.89999999999999,3.74,96.53,1.21,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0025,0.0001,0.0019,0.0,94.48,3.1,96.53,0.03,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1501,0.0007,0.0097,0.0,97.33000000000001,3.65,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0195,0.0006,0.0043,0.0001,94.57,5.609999999999999,98.96000000000001,0.95,XGB,4,4,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1024,0.0002,0.0025,0.0001,94.48,5.92,96.17999999999999,0.76,MLP,4,4,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0023,0.0001,0.0019,0.0,94.57,5.609999999999999,95.84,1.95,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0023,0.0001,0.0041,0.0001,93.24,8.17,95.14,0.76,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0026,0.0001,0.0019,0.0001,88.94999999999999,9.28,98.61,0.7799999999999999,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1501,0.0005,0.0098,0.0,93.24,8.17,100.0,0.0,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0197,0.0003,0.0046,0.0001,93.24,8.17,100.0,0.0,XGB,5,5,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1015,0.0002,0.0026,0.0,91.71000000000001,5.79,98.26,1.22,MLP,5,5,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0,0.0019,0.0,91.81,7.489999999999999,94.8,2.42,GaussianNB,5,5,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0023,0.0001,0.0042,0.0001,94.48,3.1,96.17999999999999,1.8800000000000001,KNeighbors,6,6,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0025,0.0,0.0019,0.0,97.24000000000001,3.7900000000000005,98.26,1.7399999999999998,LinearSVC,6,6,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1499,0.0002,0.0098,0.0,95.89999999999999,3.74,100.0,0.0,RandomForest,6,6,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0205,0.0003,0.0047,0.0001,94.57,5.609999999999999,100.0,0.0,XGB,6,6,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1029,0.0003,0.0025,0.0001,97.24000000000001,3.7900000000000005,97.92,1.44,MLP,6,6,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0001,0.0019,0.0,97.24000000000001,3.7900000000000005,97.22,0.95,GaussianNB,6,6,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0001,0.004,0.0001,94.57,5.609999999999999,94.78999999999999,1.22,KNeighbors,7,7,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0025,0.0,0.0019,0.0,91.81,7.26,100.0,0.0,LinearSVC,7,7,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1496,0.0001,0.0097,0.0,95.89999999999999,3.74,100.0,0.0,RandomForest,7,7,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0211,0.0002,0.0049,0.0001,96.0,5.96,100.0,0.0,XGB,7,7,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.1034,0.0007,0.0025,0.0002,94.57,5.609999999999999,99.66000000000001,0.77,MLP,7,7,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0,0.0019,0.0,95.89999999999999,6.02,97.22,0.95,GaussianNB,7,7,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
0.0022,0.0001,0.0039,0.0001,93.14,6.909999999999999,96.53,1.24,KNeighbors,8,8,KGroups_max,mutual_info,False,0:03:11.814967,0:03:13.221071,ALLAML
