fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0047,0.0001,80.83,6.75,84.61,1.04,KNeighbors,2,2,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0025,0.0,0.0018,0.0,78.33,0.96,78.45,0.38999999999999996,LinearSVC,2,2,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1578,0.0007,0.0087,0.0007,74.9,6.0600000000000005,99.75,0.33999999999999997,RandomForest,2,2,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0776,0.0021,0.0034,0.0001,75.41,7.249999999999999,99.51,0.27999999999999997,XGB,2,2,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1349,0.0004,0.002,0.0001,79.34,4.29,80.05,1.25,MLP,2,2,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0022,0.0,0.0019,0.0,80.78999999999999,3.1399999999999997,81.16,1.13,GaussianNB,2,2,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0048,0.0001,73.89,2.18,80.67,1.41,KNeighbors,3,3,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0026,0.0,0.0019,0.0001,78.33,1.9800000000000002,78.33,0.5,LinearSVC,3,3,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1574,0.0008,0.0085,0.0005,74.91,4.82,99.75,0.33999999999999997,RandomForest,3,3,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0787,0.0022,0.0035,0.0001,73.42999999999999,3.7900000000000005,99.38,0.44,XGB,3,3,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1393,0.0003,0.0021,0.0,77.83,0.3,78.45,0.73,MLP,3,3,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0022,0.0,0.0019,0.0,59.089999999999996,4.09,61.72,15.86,GaussianNB,3,3,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0048,0.0001,79.82000000000001,2.54,84.49,1.8399999999999999,KNeighbors,4,4,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0026,0.0,0.0019,0.0,78.83,2.69,80.17,1.38,LinearSVC,4,4,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1626,0.0007,0.0092,0.0005,79.28,6.329999999999999,99.88,0.27,RandomForest,4,4,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.078,0.0017,0.0037,0.0001,77.3,7.41,100.0,0.0,XGB,4,4,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1446,0.0004,0.002,0.0,80.78999999999999,1.9800000000000002,82.88,0.8,MLP,4,4,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0023,0.0,0.0019,0.0,70.93,4.42,70.58,6.619999999999999,GaussianNB,4,4,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0048,0.0001,79.3,2.2399999999999998,81.39999999999999,1.3299999999999998,KNeighbors,5,5,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0027,0.0,0.0019,0.0001,76.87,2.59,78.82000000000001,0.89,LinearSVC,5,5,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1593,0.0005,0.0085,0.0005,74.88,3.6700000000000004,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0824,0.0018,0.0039,0.0001,76.33,6.77,100.0,0.0,XGB,5,5,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1416,0.0004,0.002,0.0,77.84,1.5699999999999998,79.31,1.0,MLP,5,5,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0023,0.0,0.0019,0.0,55.60000000000001,16.71,52.339999999999996,11.600000000000001,GaussianNB,5,5,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0048,0.0001,85.74000000000001,3.91,86.58,1.8499999999999999,KNeighbors,6,6,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0028,0.0,0.0019,0.0,82.28,3.09,84.73,0.53,LinearSVC,6,6,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.163,0.0008,0.0087,0.0007,82.8,7.1,100.0,0.0,RandomForest,6,6,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0769,0.0026,0.004,0.0,83.76,4.09,100.0,0.0,XGB,6,6,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1463,0.0007,0.002,0.0001,82.74000000000001,3.1399999999999997,84.73,0.48,MLP,6,6,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0023,0.0,0.0019,0.0,55.2,13.68,56.910000000000004,16.12,GaussianNB,6,6,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0048,0.0001,78.36999999999999,5.17,82.27,1.2,KNeighbors,7,7,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0029,0.0,0.0018,0.0,79.80000000000001,2.0,81.89999999999999,0.8999999999999999,LinearSVC,7,7,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1625,0.0005,0.0087,0.0007,78.35,3.8699999999999997,100.0,0.0,RandomForest,7,7,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0845,0.0008,0.0043,0.0001,76.39,6.94,100.0,0.0,XGB,7,7,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1491,0.0003,0.0021,0.0001,80.34,7.21,84.48,0.8699999999999999,MLP,7,7,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0023,0.0,0.0019,0.0,52.72,10.620000000000001,53.7,13.65,GaussianNB,7,7,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0049,0.0001,81.27,4.51,84.11,1.7500000000000002,KNeighbors,8,8,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.003,0.0,0.0018,0.0001,80.78999999999999,1.9800000000000002,85.1,1.6,LinearSVC,8,8,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1621,0.0009,0.0092,0.0005,82.26,3.29,100.0,0.0,RandomForest,8,8,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0819,0.0019,0.0044,0.0001,80.30000000000001,5.41,100.0,0.0,XGB,8,8,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1497,0.0003,0.0021,0.0,80.78999999999999,4.67,85.47,1.76,MLP,8,8,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0023,0.0,0.0019,0.0,58.089999999999996,16.84,60.35,8.02,GaussianNB,8,8,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0048,0.0001,86.18,3.8699999999999997,88.53999999999999,1.5699999999999998,KNeighbors,9,9,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0031,0.0001,0.0018,0.0001,85.2,3.5999999999999996,89.03999999999999,1.3599999999999999,LinearSVC,9,9,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1656,0.0008,0.0087,0.0007,88.14999999999999,4.14,100.0,0.0,RandomForest,9,9,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0716,0.0019,0.0045,0.0001,88.64999999999999,3.85,100.0,0.0,XGB,9,9,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1514,0.0005,0.0021,0.0,88.16000000000001,2.79,91.75,0.9400000000000001,MLP,9,9,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0023,0.0,0.0019,0.0,57.11000000000001,6.98,58.37,3.6700000000000004,GaussianNB,9,9,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0049,0.0001,80.78999999999999,1.9800000000000002,86.33,1.38,KNeighbors,10,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0031,0.0,0.0018,0.0001,80.78,2.12,84.97,2.35,LinearSVC,10,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1655,0.0011,0.0087,0.0007,85.71,4.46,100.0,0.0,RandomForest,10,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0797,0.0033,0.0049,0.0001,85.71,4.109999999999999,100.0,0.0,XGB,10,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1517,0.0001,0.0021,0.0,80.76,5.7299999999999995,87.44,1.44,MLP,10,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0023,0.0,0.0019,0.0,55.13,10.89,56.66,6.04,GaussianNB,10,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0021,0.0001,0.0049,0.0001,85.24000000000001,3.7800000000000002,89.41,1.55,KNeighbors,11,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0031,0.0001,0.0018,0.0001,83.74000000000001,6.660000000000001,87.42999999999999,1.7000000000000002,LinearSVC,11,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.1658,0.0012,0.0087,0.0007,87.66000000000001,4.68,99.88,0.27,RandomForest,11,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
0.0744,0.0024,0.0048,0.0001,86.18,5.779999999999999,100.0,0.0,XGB,11,10,KGroups_max,Fvalue,False,0:04:30.121323,0:04:31.707298,lung
