dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,67,56,98.57,3.19,RandomForest,KGroups_max,entropy,False,0:03:10.219304,0:03:11.357666
CLL_SUB_111,2,2,63.95,8.53,RandomForest,KGroups_max,entropy,False,0:03:12.371191,0:03:13.572401
Carcinom,91,91,82.71,6.329999999999999,RandomForest,KGroups_max,entropy,False,0:09:17.927019,0:01:48.349138
GLIOMA,7,7,80.0,14.14,RandomForest,KGroups_max,entropy,False,0:03:22.195864,0:03:23.463823
GLI_85,2,2,81.17999999999999,7.670000000000001,RandomForest,KGroups_max,entropy,False,0:02:55.527635,0:02:56.603095
Prostate_GE,59,62,92.19,10.7,RandomForest,KGroups_max,entropy,False,0:03:37.206011,0:03:38.513071
SMK_CAN_187,94,86,72.7,13.73,RandomForest,KGroups_max,entropy,False,0:04:42.807608,0:04:44.532295
TOX_171,3,3,54.42,4.859999999999999,RandomForest,KGroups_max,entropy,False,0:04:08.361978,0:04:09.855882
colon,93,39,90.13,10.89,RandomForest,KGroups_max,entropy,False,0:03:05.455433,0:03:06.604173
leukemia,72,65,100.0,0.0,RandomForest,KGroups_max,entropy,False,0:03:12.697519,0:03:13.873395
lung,80,74,96.04,2.85,RandomForest,KGroups_max,entropy,False,0:04:56.316929,0:04:58.033581
lung_discrete,84,42,90.38,8.110000000000001,RandomForest,KGroups_max,entropy,False,0:03:31.459989,0:03:32.688728
lymphoma,65,42,88.53,9.43,RandomForest,KGroups_max,entropy,False,0:03:51.150474,0:03:52.488387
nci9,89,72,65.0,9.13,RandomForest,KGroups_max,entropy,False,0:03:53.804329,0:03:55.129384
