dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,3,3,100.0,0.0,KNeighbors,KGroups_max++,gini_importance,False,0:03:07.208600,0:03:08.552070
CLL_SUB_111,35,28,78.38000000000001,4.95,KNeighbors,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178
Carcinom,74,59,92.52,4.8,KNeighbors,KGroups_max++,gini_importance,False,0:05:22.300437,0:05:24.548052
GLIOMA,28,26,92.0,8.37,KNeighbors,KGroups_max++,gini_importance,False,0:03:26.631346,0:03:28.131192
GLI_85,7,7,97.65,3.22,KNeighbors,KGroups_max++,gini_importance,False,0:03:23.290826,0:03:24.795221
Prostate_GE,13,10,95.1,6.13,KNeighbors,KGroups_max++,gini_importance,False,0:03:23.744246,0:03:25.257478
SMK_CAN_187,31,24,75.38,13.18,KNeighbors,KGroups_max++,gini_importance,False,0:04:27.736191,0:04:29.719912
TOX_171,96,56,70.13000000000001,5.47,KNeighbors,KGroups_max++,gini_importance,False,0:04:47.797302,0:04:49.865896
colon,50,25,91.67,10.21,KNeighbors,KGroups_max++,gini_importance,False,0:03:06.945726,0:03:08.337841
leukemia,5,5,98.67,2.98,KNeighbors,KGroups_max++,gini_importance,False,0:03:05.471996,0:03:06.846851
lung,52,37,98.5,2.24,KNeighbors,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854
lung_discrete,60,38,91.71,5.79,KNeighbors,KGroups_max++,gini_importance,False,0:03:39.499882,0:03:41.094959
lymphoma,97,64,92.68,4.74,KNeighbors,KGroups_max++,gini_importance,False,0:04:02.272181,0:04:04.028059
nci9,21,15,65.0,18.07,KNeighbors,KGroups_max++,gini_importance,False,0:03:46.991371,0:03:48.606206
