fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.004,0.0001,65.73,4.34,79.95,1.52,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0023,0.0,0.0017,0.0,49.6,8.81,56.54,3.66,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1546,0.0016,0.0097,0.0002,71.98,7.04,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0514,0.0005,0.0042,0.0001,71.15,5.3100000000000005,100.0,0.0,XGB,2,2,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1075,0.0006,0.0026,0.0,57.709999999999994,11.559999999999999,63.970000000000006,4.84,MLP,2,2,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0001,0.002,0.0,53.080000000000005,5.76,60.809999999999995,1.32,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0,0.0046,0.0001,50.51,5.56,70.05,2.86,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0026,0.0,0.0019,0.0,56.879999999999995,12.370000000000001,63.980000000000004,4.7,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1565,0.0004,0.0099,0.0001,62.21,9.08,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0511,0.0009,0.0044,0.0001,65.85,7.630000000000001,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1124,0.0006,0.0025,0.0,51.42,12.57,69.37,2.07,MLP,3,3,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0001,0.002,0.0001,56.8,8.52,66.67999999999999,4.89,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0001,0.0045,0.0001,64.74,7.89,70.94,4.24,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0026,0.0,0.0019,0.0,61.38,10.63,67.80000000000001,1.97,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1602,0.0003,0.0099,0.0001,62.21,10.65,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0545,0.0018,0.0046,0.0001,68.42,9.25,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1129,0.0006,0.0026,0.0,59.53000000000001,11.200000000000001,70.73,2.52,MLP,4,4,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0023,0.0,0.002,0.0,59.45,3.3099999999999996,65.10000000000001,2.4899999999999998,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0001,0.0046,0.0001,72.89,9.83,77.25,2.93,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0026,0.0,0.0018,0.0,65.69,5.609999999999999,69.59,4.06,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1594,0.0009,0.0087,0.0001,70.19999999999999,5.54,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0517,0.0007,0.0047,0.0001,73.79,8.93,100.0,0.0,XGB,5,5,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1151,0.0005,0.0026,0.0,65.77,2.29,77.25999999999999,2.86,MLP,5,5,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0023,0.0,0.0019,0.0,60.36,8.12,69.37,2.8400000000000003,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0001,0.0045,0.0001,52.290000000000006,7.17,68.02,1.87,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0026,0.0,0.0019,0.0,63.239999999999995,13.94,67.35,3.7199999999999998,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1607,0.0005,0.01,0.0001,61.260000000000005,6.819999999999999,100.0,0.0,RandomForest,6,6,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0534,0.002,0.005,0.0001,67.63,10.54,100.0,0.0,XGB,6,6,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1169,0.0008,0.0026,0.0001,61.339999999999996,10.92,75.01,2.96,MLP,6,6,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0023,0.0001,0.0019,0.0001,61.339999999999996,9.93,68.7,2.91,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0023,0.0001,0.0044,0.0001,71.15,2.75,77.92999999999999,1.68,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0028,0.0001,0.002,0.0001,73.95,8.309999999999999,84.68,3.81,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1604,0.0021,0.0101,0.0002,76.6,10.27,100.0,0.0,RandomForest,7,7,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0555,0.0024,0.0054,0.0001,74.7,7.8,100.0,0.0,XGB,7,7,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1202,0.0004,0.0027,0.0001,73.83,6.09,88.96,2.6,MLP,7,7,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0025,0.0,0.0021,0.0,66.67999999999999,3.8600000000000003,72.53,1.9900000000000002,GaussianNB,7,7,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0025,0.0,0.0048,0.0001,70.19999999999999,7.16,80.63,2.4299999999999997,KNeighbors,8,8,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.003,0.0001,0.0021,0.0001,73.79,6.2,81.07,2.9899999999999998,LinearSVC,8,8,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1624,0.0006,0.0101,0.0001,78.3,11.87,100.0,0.0,RandomForest,8,8,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0557,0.0016,0.0055,0.0001,78.22,14.219999999999999,100.0,0.0,XGB,8,8,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1203,0.0005,0.0026,0.0,74.66000000000001,9.610000000000001,90.08,2.34,MLP,8,8,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0025,0.0,0.0021,0.0,68.38,13.43,73.64,3.9,GaussianNB,8,8,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0025,0.0001,0.0048,0.0001,65.69,4.6,76.58,4.8,KNeighbors,9,9,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0029,0.0,0.002,0.0,77.42999999999999,8.62,85.58,2.71,LinearSVC,9,9,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1662,0.0008,0.0092,0.0006,77.42999999999999,9.74,100.0,0.0,RandomForest,9,9,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0572,0.0022,0.0056,0.0001,74.7,9.58,100.0,0.0,XGB,9,9,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1202,0.0008,0.0026,0.0001,72.02,8.91,90.53,2.86,MLP,9,9,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0,0.002,0.0001,66.67999999999999,3.8600000000000003,73.42,1.68,GaussianNB,9,9,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0,0.0046,0.0001,78.34,8.83,83.1,4.3999999999999995,KNeighbors,10,10,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0029,0.0001,0.002,0.0001,78.34,10.440000000000001,83.55,4.02,LinearSVC,10,10,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1617,0.001,0.0099,0.0001,77.42999999999999,11.219999999999999,100.0,0.0,RandomForest,10,10,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0589,0.0012,0.0059,0.0001,74.7,12.4,100.0,0.0,XGB,10,10,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.121,0.0007,0.0026,0.0,76.52,8.27,92.78999999999999,2.23,MLP,10,10,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0,0.002,0.0,67.58999999999999,12.520000000000001,76.58,1.8599999999999999,GaussianNB,10,10,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0025,0.0,0.0046,0.0001,72.96000000000001,7.89,80.17,1.81,KNeighbors,11,11,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0029,0.0001,0.002,0.0001,79.29,13.07,84.68,3.54,LinearSVC,11,11,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1621,0.0004,0.01,0.0001,76.52,10.96,100.0,0.0,RandomForest,11,11,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0587,0.0014,0.0061,0.0,76.52,9.969999999999999,100.0,0.0,XGB,11,11,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.1209,0.0004,0.0026,0.0,79.29,10.43,91.66,2.0500000000000003,MLP,11,11,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
0.0024,0.0,0.002,0.0,68.46,4.590000000000001,77.25,1.8800000000000001,GaussianNB,11,11,KGroups_max++,gini_importance,False,0:04:03.020618,0:04:04.804178,CLL_SUB_111
