fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0,0.005,0.0001,81.77,4.45,86.57000000000001,1.13,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0026,0.0001,0.0018,0.0001,78.83,2.07,79.43,0.7000000000000001,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1586,0.0005,0.0099,0.0001,84.21,3.8699999999999997,99.88,0.27999999999999997,RandomForest,2,2,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.069,0.002,0.004,0.0001,78.29,4.95,100.0,0.0,XGB,2,2,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1382,0.0001,0.0024,0.0,82.72,5.08,84.85000000000001,1.51,MLP,2,2,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0023,0.0,0.0019,0.0,84.23,5.08,86.08,1.23,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0022,0.0001,0.0049,0.0001,87.18,2.12,90.52,2.04,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0026,0.0,0.0018,0.0001,82.26,1.27,84.23,0.97,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1574,0.0003,0.0098,0.0001,87.13,7.4399999999999995,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0645,0.0014,0.0041,0.0001,88.16000000000001,4.79,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1449,0.0015,0.0025,0.0001,86.7,2.22,87.92999999999999,0.9400000000000001,MLP,3,3,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0025,0.0001,0.0021,0.0,86.66,5.52,88.79,0.8099999999999999,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0025,0.0,0.0055,0.0001,87.2,4.01,89.53,1.6500000000000001,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.003,0.0,0.0021,0.0,79.80000000000001,2.04,81.03,0.69,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1714,0.0008,0.0093,0.0005,85.7,6.370000000000001,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0722,0.0024,0.0047,0.0001,85.21,8.83,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1501,0.0004,0.0025,0.0001,87.2,5.55,90.02,1.6,MLP,4,4,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0025,0.0,0.0021,0.0,87.66000000000001,4.33,89.66,0.79,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0025,0.0,0.0055,0.0001,87.17,5.63,90.39,1.37,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0031,0.0001,0.0021,0.0001,83.23,3.32,86.94,1.13,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1707,0.0008,0.0103,0.0001,89.13,5.7299999999999995,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0727,0.001,0.005,0.0002,87.67,5.5,100.0,0.0,XGB,5,5,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1512,0.0004,0.0025,0.0,88.66000000000001,4.8,91.38,0.7799999999999999,MLP,5,5,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0025,0.0,0.0021,0.0,88.14999999999999,4.82,89.78,0.69,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.0025,0.0001,0.0056,0.0001,92.10000000000001,5.390000000000001,93.72,0.8099999999999999,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.003,0.0001,0.0021,0.0,89.64999999999999,4.72,92.36999999999999,1.41,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
0.1677,0.0007,0.0101,0.0001,93.58999999999999,5.75,100.0,0.0,RandomForest,6,6,KGroups_max++,gini_importance,False,0:04:45.096530,0:04:47.175854,lung
