fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.004,0.0001,61.23,5.43,71.83,4.58,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0024,0.0,0.0018,0.0,59.41,11.32,63.06,3.36,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.1537,0.0004,0.0096,0.0,59.41,7.470000000000001,100.0,0.0,RandomForest,2,2,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0495,0.0023,0.0037,0.0001,61.19,6.529999999999999,99.78,0.5,XGB,2,2,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.1102,0.0004,0.0024,0.0,56.76,12.24,65.08,4.78,MLP,2,2,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0021,0.0,0.0018,0.0,61.3,13.28,63.519999999999996,3.39,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0021,0.0001,0.004,0.0001,65.81,7.2700000000000005,75.44999999999999,1.25,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0024,0.0,0.0018,0.0,67.67,8.04,70.5,1.7500000000000002,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.1536,0.0003,0.0089,0.0006,62.129999999999995,9.53,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0498,0.001,0.0039,0.0001,61.23,7.08,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.113,0.0003,0.0024,0.0,64.86,8.73,76.12,2.37,MLP,3,3,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0021,0.0,0.0018,0.0,69.41000000000001,5.6000000000000005,71.17,1.18,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0021,0.0001,0.004,0.0001,55.85,3.7900000000000005,73.87,1.77,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0024,0.0,0.0018,0.0,64.03,8.63,68.93,2.94,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.1567,0.0002,0.0095,0.0001,57.67,2.07,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0512,0.0022,0.004,0.0001,56.720000000000006,7.109999999999999,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.1142,0.0002,0.0024,0.0,62.21,7.86,76.36,3.38,MLP,4,4,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0021,0.0,0.0018,0.0,65.89,11.62,69.83,2.69,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0021,0.0001,0.004,0.0001,65.93,11.32,81.08999999999999,2.3800000000000003,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0024,0.0,0.0018,0.0,70.39999999999999,14.08,76.35,2.6100000000000003,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.1558,0.0004,0.009,0.0006,71.3,11.64,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
0.0497,0.0013,0.0042,0.0001,69.53,11.799999999999999,100.0,0.0,XGB,5,5,KGroups_max++,mutual_info,False,0:04:15.409691,0:04:17.181340,CLL_SUB_111
