fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0,0.0042,0.0001,48.0,10.85,56.18,2.5700000000000003,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0026,0.0001,0.0019,0.0,48.0,8.37,53.44,3.9800000000000004,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1491,0.0005,0.0089,0.0005,49.24,10.76,58.220000000000006,2.4899999999999998,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.073,0.0008,0.0043,0.0001,49.24,10.76,58.220000000000006,2.4899999999999998,XGB,2,2,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0988,0.0002,0.0024,0.0,50.760000000000005,12.659999999999998,56.86,2.04,MLP,2,2,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0024,0.0,0.002,0.0,42.480000000000004,14.09,44.86,1.3599999999999999,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0022,0.0001,0.004,0.0001,45.14,11.34,55.81,2.16,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0026,0.0001,0.0019,0.0001,48.1,11.3,52.76,4.99,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1478,0.0003,0.0089,0.0006,46.29,13.489999999999998,65.74,2.9000000000000004,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.076,0.0021,0.0042,0.0001,50.38,12.68,65.4,2.41,XGB,3,3,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1002,0.0005,0.0023,0.0,49.24,8.05,60.260000000000005,2.9899999999999998,MLP,3,3,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0024,0.0,0.0019,0.0,43.81,8.84,48.28,3.6900000000000004,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0021,0.0001,0.0038,0.0001,63.13999999999999,15.21,67.12,2.87,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0025,0.0,0.0018,0.0001,53.620000000000005,12.920000000000002,64.72,1.6099999999999999,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1484,0.0004,0.0091,0.0007,58.76,13.270000000000001,81.85,3.1300000000000003,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0751,0.0019,0.0043,0.0001,61.62,12.42,81.85,3.1300000000000003,XGB,4,4,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.103,0.0005,0.0023,0.0,56.379999999999995,13.19,73.28,1.58,MLP,4,4,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0023,0.0,0.0019,0.0,43.71,9.45,55.46,3.62,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0021,0.0001,0.0037,0.0001,49.33,12.42,67.46,2.45,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0025,0.0,0.0018,0.0001,54.669999999999995,7.1499999999999995,68.14,3.6799999999999997,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1488,0.0002,0.0088,0.0006,54.669999999999995,16.650000000000002,87.32,2.34,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0774,0.0021,0.0045,0.0001,57.43000000000001,18.63,87.32,2.34,XGB,5,5,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1044,0.0005,0.0023,0.0001,58.76,13.270000000000001,78.09,4.35,MLP,5,5,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0025,0.0001,0.0021,0.0001,50.67,12.42,62.31,5.16,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0023,0.0001,0.0042,0.0001,60.29,11.15,69.49,6.5,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0028,0.0,0.0019,0.0001,54.76,14.580000000000002,75.0,4.61,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1515,0.0003,0.009,0.0005,57.43000000000001,18.94,92.81,2.83,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0812,0.0034,0.0051,0.0,58.76,21.04,92.46,2.32,XGB,6,6,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.1071,0.0007,0.0025,0.0001,61.519999999999996,14.64,83.22,3.04,MLP,6,6,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
0.0026,0.0001,0.0022,0.0,46.19,23.05,59.940000000000005,6.11,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:03:48.232668,0:03:49.864263,lung_discrete
