fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0047,0.0001,27.61,2.92,33.77,1.9,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0029,0.0001,0.0019,0.0,35.68,6.65,36.5,1.72,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1541,0.0002,0.0099,0.0001,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,2,2,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1158,0.003,0.0042,0.0001,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,2,2,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1364,0.0008,0.0025,0.0,35.11,6.61,36.21,1.72,MLP,2,2,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0026,0.0,0.002,0.0,24.740000000000002,4.97,24.86,1.78,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0022,0.0001,0.0047,0.0001,28.71,5.17,35.35,3.53,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.003,0.0001,0.0019,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1541,0.0005,0.0098,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,3,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1201,0.004,0.0045,0.0001,35.11,7.75,52.73,2.21,XGB,3,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1384,0.0009,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,3,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0026,0.0,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0022,0.0,0.0047,0.0001,28.71,5.17,35.35,3.53,KNeighbors,4,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.003,0.0001,0.0019,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,4,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1545,0.0007,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,4,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1205,0.0036,0.0045,0.0001,35.11,7.75,52.73,2.21,XGB,4,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1361,0.0012,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,4,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0026,0.0,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,4,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0023,0.0,0.0048,0.0001,28.71,5.17,35.35,3.53,KNeighbors,5,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0031,0.0001,0.002,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,5,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1532,0.0013,0.0098,0.0002,35.65,3.9800000000000004,53.74,2.06,RandomForest,5,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1181,0.0081,0.0045,0.0001,35.11,7.75,52.73,2.21,XGB,5,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1369,0.0008,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,5,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0026,0.0,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,5,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0023,0.0,0.0048,0.0001,28.71,5.17,35.35,3.53,KNeighbors,6,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0031,0.0001,0.002,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,6,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1549,0.0003,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,6,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1209,0.0041,0.0045,0.0001,35.11,7.75,52.73,2.21,XGB,6,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1366,0.0009,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,6,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0026,0.0,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,6,3,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0023,0.0,0.0048,0.0001,30.470000000000002,4.41,44.54,1.26,KNeighbors,7,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0032,0.0001,0.002,0.0,36.27,6.4799999999999995,37.93,1.91,LinearSVC,7,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1586,0.0005,0.0091,0.0006,33.339999999999996,4.42,70.98,1.23,RandomForest,7,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1432,0.0089,0.005,0.0001,33.36,3.61,69.39999999999999,1.1199999999999999,XGB,7,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1392,0.0022,0.0025,0.0,35.68,5.65,38.37,2.23,MLP,7,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0026,0.0,0.0021,0.0,25.85,4.859999999999999,26.58,0.67,GaussianNB,7,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0023,0.0,0.0048,0.0001,30.470000000000002,4.41,44.54,1.26,KNeighbors,8,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0033,0.0001,0.002,0.0,36.27,6.4799999999999995,37.93,1.91,LinearSVC,8,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1592,0.0003,0.0101,0.0,33.339999999999996,4.42,70.98,1.23,RandomForest,8,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1424,0.0076,0.005,0.0001,33.36,3.61,69.39999999999999,1.1199999999999999,XGB,8,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1423,0.0007,0.0025,0.0,35.68,5.65,38.37,2.23,MLP,8,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0026,0.0,0.0021,0.0,25.85,4.859999999999999,26.58,0.67,GaussianNB,8,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0023,0.0,0.0048,0.0001,30.470000000000002,4.41,44.54,1.26,KNeighbors,9,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.0033,0.0001,0.002,0.0,36.27,6.4799999999999995,37.93,1.91,LinearSVC,9,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1591,0.0004,0.0101,0.0,33.339999999999996,4.42,70.98,1.23,RandomForest,9,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
0.1388,0.006,0.005,0.0001,33.36,3.61,69.39999999999999,1.1199999999999999,XGB,9,4,KGroups_max++,Fvalue,False,0:04:26.056028,0:04:27.752123,Carcinom
