fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,63.080000000000005,8.14,73.04,6.21,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0022,0.0,0.0018,0.0,69.49,15.53,73.04,7.539999999999999,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1454,0.0003,0.0087,0.0006,74.36,15.379999999999999,79.05,4.04,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0187,0.0011,0.0031,0.0001,74.36,11.51,79.05,4.04,XGB,2,2,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0908,0.0003,0.0022,0.0,74.36,11.51,79.05,4.04,MLP,2,2,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0,0.0018,0.0,71.15,13.19,76.24,5.07,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,79.23,11.53,85.89,1.94,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0022,0.0,0.0018,0.0,82.17999999999999,9.27,83.07,2.6599999999999997,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1463,0.0004,0.0088,0.0006,80.64,4.36,87.9,2.02,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0208,0.0005,0.0034,0.0001,82.17999999999999,6.79,86.69,2.31,XGB,3,3,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0939,0.0003,0.0022,0.0,83.85000000000001,10.23,85.89,1.3299999999999998,MLP,3,3,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0018,0.0,77.56,12.82,82.25,2.23,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,77.69,11.129999999999999,87.5,1.67,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,79.23,11.959999999999999,85.48,2.65,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1475,0.0002,0.0089,0.0006,76.03,8.92,91.53,1.66,RandomForest,4,4,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.021,0.0004,0.0035,0.0001,76.03,8.92,88.72,2.25,XGB,4,4,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0952,0.0003,0.0022,0.0,79.10000000000001,10.7,87.91,1.95,MLP,4,4,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0001,0.0018,0.0,76.03,15.42,80.67,3.5000000000000004,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,83.97,9.85,87.49,1.73,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,83.72,13.29,88.71,4.6,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1466,0.0001,0.0086,0.0005,82.17999999999999,9.27,94.36,1.66,RandomForest,5,5,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.021,0.0007,0.0037,0.0001,82.17999999999999,9.27,91.93,2.45,XGB,5,5,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0967,0.0002,0.0021,0.0001,88.46000000000001,13.99,91.12,3.4000000000000004,MLP,5,5,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0,0.0018,0.0,88.59,12.73,87.9,3.74,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,79.23,13.34,87.09,2.3,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,85.38,12.42,89.91,3.7800000000000002,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1468,0.0003,0.0088,0.0006,80.64,9.4,94.36,1.66,RandomForest,6,6,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0218,0.0006,0.0038,0.0001,82.17999999999999,9.27,93.13,1.8399999999999999,XGB,6,6,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0974,0.0005,0.0022,0.0,88.59,13.84,91.93,3.2199999999999998,MLP,6,6,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0001,0.0018,0.0,82.56,12.78,84.69,2.58,GaussianNB,6,6,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,80.51,7.7700000000000005,88.7,1.87,KNeighbors,7,7,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,86.92,7.670000000000001,89.91,2.5,LinearSVC,7,7,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1467,0.0002,0.0086,0.0005,83.85000000000001,5.93,98.79,1.0999999999999999,RandomForest,7,7,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0222,0.0008,0.0041,0.0001,80.51,9.75,95.17999999999999,2.26,XGB,7,7,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0988,0.001,0.0023,0.0001,86.92,9.41,90.72,3.39,MLP,7,7,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0018,0.0,85.38,10.45,87.89,2.5700000000000003,GaussianNB,7,7,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,83.85000000000001,8.05,89.12,3.34,KNeighbors,8,8,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,86.79,12.7,93.14,3.04,LinearSVC,8,8,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1464,0.0004,0.0088,0.0006,83.85000000000001,13.0,98.38,0.8999999999999999,RandomForest,8,8,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.023,0.0006,0.0044,0.0001,82.31,12.18,95.57,2.18,XGB,8,8,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0992,0.0002,0.0022,0.0,85.26,12.33,95.17,2.69,MLP,8,8,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0018,0.0,79.23,11.959999999999999,85.48,1.02,GaussianNB,8,8,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,88.59,11.05,88.29,4.8500000000000005,KNeighbors,9,9,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,91.92,5.8999999999999995,96.77,1.13,LinearSVC,9,9,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1465,0.0004,0.0086,0.0005,90.25999999999999,7.06,98.79,1.0999999999999999,RandomForest,9,9,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.023,0.0006,0.0045,0.0001,88.46000000000001,13.99,97.17,1.8399999999999999,XGB,9,9,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0997,0.0003,0.0023,0.0,95.0,7.449999999999999,96.37,0.91,MLP,9,9,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0019,0.0,87.05000000000001,12.629999999999999,90.72,1.17,GaussianNB,9,9,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,87.05000000000001,7.4399999999999995,90.73,3.02,KNeighbors,10,10,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0026,0.0002,0.002,0.0002,83.46000000000001,19.61,96.76,2.33,LinearSVC,10,10,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.147,0.0003,0.009,0.0006,78.97,12.67,98.79,1.0999999999999999,RandomForest,10,10,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0238,0.0005,0.0048,0.0001,78.85,7.9,97.98,1.44,XGB,10,10,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1002,0.0003,0.0023,0.0,83.72,10.35,98.79,1.0999999999999999,MLP,10,10,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0019,0.0,85.64,10.4,87.9,1.4200000000000002,GaussianNB,10,10,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0001,0.0036,0.0001,86.92,11.33,89.51,3.8699999999999997,KNeighbors,11,11,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,85.13,13.77,95.95,2.06,LinearSVC,11,11,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.147,0.0002,0.0093,0.0005,85.26,7.28,100.0,0.0,RandomForest,11,11,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0242,0.0006,0.005,0.0001,85.13,10.97,99.18,1.83,XGB,11,11,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1008,0.0003,0.0023,0.0,83.46000000000001,16.75,97.98,2.02,MLP,11,11,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0019,0.0,90.13,9.16,91.11,2.39,GaussianNB,11,11,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.002,0.0001,0.0036,0.0001,86.92,12.57,87.49,3.91,KNeighbors,12,12,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,75.64,6.39,97.17,1.82,LinearSVC,12,12,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1469,0.0002,0.0088,0.0006,82.05,11.08,100.0,0.0,RandomForest,12,12,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0246,0.0005,0.0053,0.0001,81.92,12.42,99.2,1.0999999999999999,XGB,12,12,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1008,0.0002,0.0023,0.0,83.59,10.47,99.19,1.11,MLP,12,12,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0019,0.0,87.18,10.77,89.92,1.4200000000000002,GaussianNB,12,12,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0001,0.0036,0.0001,88.46000000000001,9.56,88.69,3.42,KNeighbors,13,13,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0023,0.0,0.0018,0.0,82.17999999999999,4.06,97.98,1.41,LinearSVC,13,13,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1469,0.0003,0.0088,0.0006,90.13,10.89,100.0,0.0,RandomForest,13,13,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0251,0.0004,0.0055,0.0001,90.0,10.870000000000001,98.78,1.11,XGB,13,13,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1008,0.0003,0.0023,0.0,88.46000000000001,13.99,98.78,1.11,MLP,13,13,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0,0.0019,0.0001,88.59,12.73,88.69,3.4799999999999995,GaussianNB,13,13,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0001,0.0036,0.0001,83.85000000000001,5.93,85.49,2.19,KNeighbors,14,14,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0024,0.0,0.0019,0.0,82.05,11.08,95.54,3.35,LinearSVC,14,14,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1472,0.0002,0.0093,0.0005,82.05,9.379999999999999,100.0,0.0,RandomForest,14,14,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0257,0.0005,0.0055,0.0002,81.92,13.930000000000001,99.2,1.0999999999999999,XGB,14,14,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1012,0.0002,0.0023,0.0,80.51,7.7700000000000005,97.99,1.41,MLP,14,14,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0022,0.0001,0.0019,0.0,85.38,10.93,85.88,2.52,GaussianNB,14,14,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0001,0.0036,0.0001,87.05000000000001,10.7,87.49,3.34,KNeighbors,15,15,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0024,0.0,0.0019,0.0,85.38,7.07,97.98,1.41,LinearSVC,15,15,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1469,0.0003,0.0088,0.0006,88.59,7.26,100.0,0.0,RandomForest,15,15,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.026,0.0007,0.0057,0.0001,88.33,13.94,99.18,1.1199999999999999,XGB,15,15,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.1023,0.0001,0.0023,0.0,90.0,10.870000000000001,99.59,0.91,MLP,15,15,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0021,0.0001,0.0019,0.0,88.59,12.73,89.49000000000001,3.4000000000000004,GaussianNB,15,15,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0019,0.0001,0.0035,0.0001,88.46000000000001,9.56,87.89,3.83,KNeighbors,16,16,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
0.0024,0.0,0.0019,0.0,80.51,5.06,97.98,1.44,LinearSVC,16,16,KGroups_max++,Fvalue,False,0:03:08.128793,0:03:09.339817,colon
