fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,91.62,7.870000000000001,96.17999999999999,2.5700000000000003,KNeighbors,2,2,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0022,0.0,0.0017,0.0,92.95,8.75,96.87,1.92,LinearSVC,2,2,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1367,0.0004,0.0081,0.0,94.38,9.3,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0139,0.0006,0.0029,0.0001,93.05,8.75,98.26,1.24,XGB,2,2,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0949,0.0005,0.002,0.0001,94.38,5.949999999999999,95.83,1.97,MLP,2,2,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0,0.0018,0.0,92.95,8.75,94.43,2.29,GaussianNB,2,2,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0001,0.0036,0.0001,94.48,7.57,95.15,1.87,KNeighbors,3,3,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0022,0.0,0.0017,0.0,90.48,11.25,95.49,2.6100000000000003,LinearSVC,3,3,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1367,0.0005,0.0081,0.0,94.57,5.609999999999999,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0145,0.0006,0.0031,0.0001,93.05,9.94,98.96000000000001,0.95,XGB,3,3,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0976,0.0004,0.002,0.0001,93.14,6.909999999999999,96.17999999999999,1.44,MLP,3,3,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0,0.0018,0.0,94.48,7.57,94.45,1.8900000000000001,GaussianNB,3,3,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0001,0.0036,0.0001,95.81,3.83,96.52,1.25,KNeighbors,4,4,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0022,0.0,0.0017,0.0,94.48,7.57,97.57000000000001,1.55,LinearSVC,4,4,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1385,0.0008,0.0081,0.0,91.71000000000001,9.19,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0155,0.0008,0.0033,0.0001,93.05,8.75,98.61,0.7799999999999999,XGB,4,4,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0991,0.0003,0.002,0.0001,95.89999999999999,6.02,98.61,0.7799999999999999,MLP,4,4,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0021,0.0001,0.0018,0.0,93.05,8.75,96.53,1.22,GaussianNB,4,4,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0001,0.0036,0.0001,91.71000000000001,8.83,94.1,1.55,KNeighbors,5,5,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0023,0.0,0.0017,0.0,91.71000000000001,11.360000000000001,94.78999999999999,2.76,LinearSVC,5,5,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1381,0.0003,0.0081,0.0,91.62,9.180000000000001,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0162,0.0008,0.0035,0.0001,92.95,8.75,98.96000000000001,0.95,XGB,5,5,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1002,0.0004,0.002,0.0001,91.71000000000001,11.360000000000001,95.83,1.55,MLP,5,5,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0,0.0018,0.0,93.05,9.94,94.45,1.8900000000000001,GaussianNB,5,5,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0001,0.0036,0.0001,90.38000000000001,7.7,95.49,0.95,KNeighbors,6,6,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0023,0.0,0.0017,0.0,89.14,10.18,97.57000000000001,1.55,LinearSVC,6,6,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1378,0.0004,0.0081,0.0001,93.14,9.6,100.0,0.0,RandomForest,6,6,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0158,0.0003,0.0036,0.0,91.62,9.180000000000001,99.3,0.95,XGB,6,6,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1,0.0007,0.002,0.0001,95.81,6.34,97.57000000000001,1.55,MLP,6,6,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0021,0.0,0.0018,0.0,94.48,7.57,95.83,1.55,GaussianNB,6,6,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0001,0.0036,0.0001,95.81,3.83,96.87,1.48,KNeighbors,7,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0023,0.0,0.0018,0.0,95.71,6.39,97.56,1.5599999999999998,LinearSVC,7,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1383,0.0005,0.0081,0.0,95.81,6.34,100.0,0.0,RandomForest,7,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0165,0.0003,0.0038,0.0001,95.71,9.58,100.0,0.0,XGB,7,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1021,0.0008,0.0021,0.0001,97.14,3.91,98.26,1.24,MLP,7,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0021,0.0,0.0018,0.0,97.14,6.39,97.22,1.5599999999999998,GaussianNB,7,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0001,0.0036,0.0001,97.24000000000001,3.7900000000000005,97.22,0.95,KNeighbors,8,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0023,0.0,0.0018,0.0,94.48,5.92,98.61,0.7799999999999999,LinearSVC,8,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1387,0.0008,0.0081,0.0,94.28999999999999,9.31,100.0,0.0,RandomForest,8,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.017,0.0007,0.0038,0.0001,91.71000000000001,9.19,98.61,0.7799999999999999,XGB,8,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.1014,0.0004,0.0021,0.0001,95.81,6.34,98.61,0.7799999999999999,MLP,8,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.0021,0.0,0.0018,0.0,94.38,9.3,97.22,1.5599999999999998,GaussianNB,8,7,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
0.002,0.0001,0.0036,0.0001,94.48,5.92,95.48,1.5599999999999998,KNeighbors,9,8,KGroups_max,Fvalue,False,0:02:53.926667,0:02:54.993530,ALLAML
