fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0035,0.0001,42.480000000000004,10.47,55.48,2.9000000000000004,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0023,0.0,0.0017,0.0,56.28999999999999,6.7,57.54,1.68,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.1355,0.0003,0.008,0.0001,48.1,9.120000000000001,58.230000000000004,2.36,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0451,0.001,0.0029,0.0001,53.620000000000005,12.030000000000001,58.230000000000004,2.36,XGB,2,2,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0965,0.0003,0.002,0.0,57.620000000000005,6.63,57.54,1.68,MLP,2,2,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0022,0.0,0.0018,0.0,38.29,13.66,36.63,3.74,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.002,0.0001,0.0035,0.0001,42.57,6.4,55.82,1.41,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0024,0.0,0.0017,0.0,46.86,10.51,53.779999999999994,2.18,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.1363,0.0004,0.008,0.0,35.620000000000005,13.61,59.25,2.39,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0508,0.0009,0.0032,0.0002,37.24,11.63,59.25,2.39,XGB,3,3,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0981,0.0003,0.002,0.0001,40.1,14.48,56.86,2.52,MLP,3,3,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0022,0.0,0.0018,0.0,27.33,11.379999999999999,32.17,5.4,GaussianNB,3,3,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.002,0.0001,0.0035,0.0001,49.43,6.550000000000001,67.14,5.24,KNeighbors,4,4,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.0024,0.0,0.0017,0.0,62.949999999999996,4.24,70.22,2.1,LinearSVC,4,4,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
0.1374,0.0003,0.0081,0.0,68.47999999999999,7.6499999999999995,84.59,2.12,RandomForest,4,4,KGroups_max,Fvalue,False,0:03:19.386372,0:03:20.514356,lung_discrete
