dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,5,5,100.0,0.0,MLP,KGroups_max++,gini_importance,False,0:03:03.257253,0:03:04.479589
CLL_SUB_111,29,25,80.28,7.77,MLP,KGroups_max++,gini_importance,False,0:03:59.521087,0:04:01.092424
Carcinom,86,69,95.97,2.58,MLP,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454
GLIOMA,74,55,88.0,10.95,MLP,KGroups_max++,gini_importance,False,0:03:21.059056,0:03:22.322794
GLI_85,9,9,96.47,3.22,MLP,KGroups_max++,gini_importance,False,0:03:19.087548,0:03:20.372211
Prostate_GE,69,42,96.1,4.16,MLP,KGroups_max++,gini_importance,False,0:03:19.993351,0:03:21.291172
SMK_CAN_187,22,19,76.46,8.66,MLP,KGroups_max++,gini_importance,False,0:04:23.472929,0:04:25.149585
TOX_171,84,59,78.39,4.2700000000000005,MLP,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832
colon,55,33,91.67,8.33,MLP,KGroups_max++,gini_importance,False,0:03:02.879717,0:03:04.063695
leukemia,3,3,98.67,2.98,MLP,KGroups_max++,gini_importance,False,0:02:58.061653,0:02:59.205161
lung,70,53,97.04,2.75,MLP,KGroups_max++,gini_importance,False,0:04:43.108389,0:04:44.861503
lung_discrete,78,53,93.14,4.72,MLP,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191
lymphoma,58,49,95.79,6.859999999999999,MLP,KGroups_max++,gini_importance,False,0:03:55.817128,0:03:57.274870
nci9,94,55,75.0,13.18,MLP,KGroups_max++,gini_importance,False,0:03:38.626176,0:03:39.957693
