dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,11,9,100.0,0.0,GaussianNB,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726
CLL_SUB_111,53,41,83.72,5.319999999999999,GaussianNB,KGroups_max,gini_importance,False,0:03:44.326605,0:03:45.683002
Carcinom,63,54,80.99,7.359999999999999,GaussianNB,KGroups_max,gini_importance,False,0:05:08.435134,0:05:10.183510
GLIOMA,29,27,82.0,8.37,GaussianNB,KGroups_max,gini_importance,False,0:03:04.839994,0:03:05.936513
GLI_85,80,43,94.12,4.16,GaussianNB,KGroups_max,gini_importance,False,0:03:09.124060,0:03:10.295318
Prostate_GE,14,12,94.1,6.45,GaussianNB,KGroups_max,gini_importance,False,0:03:09.986317,0:03:11.173978
SMK_CAN_187,15,14,74.85000000000001,8.83,GaussianNB,KGroups_max,gini_importance,False,0:04:09.552813,0:04:11.067009
TOX_171,78,55,71.95,7.84,GaussianNB,KGroups_max,gini_importance,False,0:04:32.722187,0:04:34.318800
colon,21,16,90.13,9.16,GaussianNB,KGroups_max,gini_importance,False,0:02:51.161084,0:02:52.208350
leukemia,23,17,98.67,2.98,GaussianNB,KGroups_max,gini_importance,False,0:02:45.815719,0:02:46.830403
lung,50,39,94.1,5.050000000000001,GaussianNB,KGroups_max,gini_importance,False,0:04:29.937419,0:04:31.538938
lung_discrete,29,23,78.10000000000001,5.75,GaussianNB,KGroups_max,gini_importance,False,0:03:16.238342,0:03:17.331464
lymphoma,13,13,72.11,16.39,GaussianNB,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803
nci9,24,19,51.67,10.87,GaussianNB,KGroups_max,gini_importance,False,0:03:20.976545,0:03:22.080945
