fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0045,0.0001,39.11,4.19,52.44,1.6099999999999999,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0027,0.0,0.0019,0.0,46.61,6.09,47.42,2.8000000000000003,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1554,0.0005,0.0097,0.0001,51.25999999999999,11.24,84.49,2.39,RandomForest,2,2,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1299,0.0018,0.0043,0.0001,48.339999999999996,7.3999999999999995,84.2,2.7,XGB,2,2,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1403,0.0011,0.0024,0.0001,51.28,13.389999999999999,51.59,3.83,MLP,2,2,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0025,0.0,0.002,0.0,37.980000000000004,5.27,39.800000000000004,1.67,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0021,0.0001,0.0045,0.0001,52.370000000000005,11.61,63.22,3.5700000000000003,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0028,0.0,0.0019,0.0,57.53,8.38,58.19,2.56,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1551,0.0005,0.0093,0.0006,56.96,6.3100000000000005,91.24,1.46,RandomForest,3,3,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1228,0.0044,0.0045,0.0001,55.26,9.47,90.95,1.71,XGB,3,3,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.145,0.0003,0.0024,0.0,59.870000000000005,11.89,60.209999999999994,2.68,MLP,3,3,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0025,0.0,0.002,0.0,47.71,6.67,48.71,1.43,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0021,0.0001,0.0045,0.0001,54.66,8.83,65.52,2.33,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0031,0.0,0.0019,0.0,58.099999999999994,7.95,58.050000000000004,2.8400000000000003,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1579,0.0006,0.0098,0.0,56.37,4.66,91.81,1.5599999999999998,RandomForest,4,4,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.129,0.0061,0.0047,0.0002,55.26,9.47,91.38,2.01,XGB,4,4,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1443,0.0009,0.0024,0.0,60.440000000000005,11.959999999999999,60.64000000000001,3.02,MLP,4,4,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0025,0.0,0.002,0.0,43.71,6.52,49.419999999999995,2.54,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0021,0.0001,0.0045,0.0001,55.24,9.93,68.25,3.7199999999999998,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0032,0.0001,0.0019,0.0,61.56,12.690000000000001,63.080000000000005,3.11,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1602,0.0008,0.0098,0.0001,56.38999999999999,10.51,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1296,0.0047,0.0048,0.0001,52.92,10.17,100.0,0.0,XGB,5,5,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.1488,0.0005,0.0024,0.0,64.44,11.35,65.23,2.33,MLP,5,5,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0025,0.0,0.002,0.0,48.29,5.57,52.73,0.9400000000000001,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
0.0021,0.0001,0.0045,0.0001,60.370000000000005,6.329999999999999,72.71,2.48,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:05:17.151756,0:05:19.091454,Carcinom
