fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,50.760000000000005,6.529999999999999,57.89,2.58,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0023,0.0,0.0017,0.0,57.620000000000005,6.63,57.54,1.68,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.1461,0.0002,0.0085,0.0006,46.57,5.35,59.599999999999994,2.59,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0652,0.001,0.0037,0.0001,50.760000000000005,6.529999999999999,59.599999999999994,2.59,XGB,2,2,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0984,0.0003,0.0023,0.0,54.949999999999996,9.27,59.260000000000005,1.92,MLP,2,2,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0023,0.0,0.0019,0.0,38.379999999999995,8.09,49.309999999999995,6.43,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.002,0.0001,0.0036,0.0001,52.0,7.1499999999999995,63.0,1.28,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0024,0.0001,0.0018,0.0001,60.099999999999994,7.02,66.09,1.5699999999999998,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.1469,0.0003,0.0083,0.0,49.14,5.74,69.17999999999999,1.25,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0704,0.0014,0.0039,0.0001,46.67,9.31,69.17999999999999,1.25,XGB,3,3,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.1003,0.0004,0.0023,0.0,54.76,6.1,68.83,1.53,MLP,3,3,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0023,0.0,0.0019,0.0,45.050000000000004,14.27,54.449999999999996,5.63,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.002,0.0001,0.0036,0.0001,57.330000000000005,12.91,71.92,1.53,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0025,0.0,0.0018,0.0001,58.76,11.19,67.11,3.2,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.1479,0.0003,0.0088,0.0006,56.28999999999999,6.7,84.25,1.79,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0707,0.0015,0.0041,0.0001,60.38,6.510000000000001,82.55,2.7,XGB,4,4,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.1028,0.0002,0.0023,0.0001,57.52,9.82,76.37,1.8599999999999999,MLP,4,4,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0023,0.0,0.0019,0.0,47.9,3.95,65.72,5.6899999999999995,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.002,0.0001,0.0036,0.0001,55.900000000000006,13.320000000000002,67.45,3.35,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
0.0025,0.0,0.0018,0.0001,57.24,15.64,69.5,2.77,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:03:33.392609,0:03:34.720191,lung_discrete
