fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,90.19,8.23,93.06,2.09,KNeighbors,2,2,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.0022,0.0,0.0017,0.0,91.52,9.33,94.78999999999999,1.76,LinearSVC,2,2,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.1373,0.0004,0.0081,0.0001,95.81,3.83,100.0,0.0,RandomForest,2,2,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.0143,0.0007,0.003,0.0002,93.14,4.72,96.87,0.79,XGB,2,2,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.0952,0.0004,0.0019,0.0,92.95,8.75,92.7,1.47,MLP,2,2,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.002,0.0,0.0018,0.0,94.48,3.1,95.83,0.96,GaussianNB,2,2,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.002,0.0001,0.0036,0.0001,86.1,6.93,92.01,1.9900000000000002,KNeighbors,3,3,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.0022,0.0,0.0017,0.0,88.94999999999999,9.28,92.02,1.95,LinearSVC,3,3,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.1373,0.0004,0.0081,0.0001,91.71000000000001,5.79,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.015,0.0005,0.0032,0.0002,93.14,4.72,97.56,0.98,XGB,3,3,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
0.0954,0.0003,0.002,0.0,88.94999999999999,7.779999999999999,90.63,2.3,MLP,3,3,KGroups_max,gini_importance,False,0:02:53.389826,0:02:54.458726,ALLAML
