fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,60.58,11.07,67.96,1.6199999999999999,KNeighbors,2,2,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0,0.0017,0.0,64.58,4.37,67.71000000000001,2.16,LinearSVC,2,2,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1426,0.0003,0.0081,0.0001,61.47,6.890000000000001,69.01,1.7999999999999998,RandomForest,2,2,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.053,0.0017,0.003,0.0001,64.58,6.84,69.01,1.7999999999999998,XGB,2,2,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1051,0.0002,0.002,0.0,62.470000000000006,4.590000000000001,67.97,2.01,MLP,2,2,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0023,0.0,0.0019,0.0,49.21,14.760000000000002,56.75,5.94,GaussianNB,2,2,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.002,0.0001,0.0037,0.0001,67.74,4.02,72.39999999999999,2.45,KNeighbors,3,3,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0025,0.0,0.0017,0.0,69.74000000000001,6.03,75.26,3.09,LinearSVC,3,3,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1426,0.0007,0.0082,0.0001,73.95,7.470000000000001,80.73,2.11,RandomForest,3,3,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0564,0.0009,0.0033,0.0002,75.0,7.779999999999999,80.73,2.11,XGB,3,3,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1081,0.0004,0.002,0.0,73.95,8.34,77.60000000000001,1.92,MLP,3,3,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0023,0.0,0.0019,0.0,42.95,17.95,51.54,6.5,GaussianNB,3,3,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.002,0.0001,0.0037,0.0001,64.63,8.309999999999999,77.07000000000001,3.47,KNeighbors,4,4,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0026,0.0001,0.0017,0.0,68.78999999999999,10.979999999999999,79.17,3.0,LinearSVC,4,4,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1446,0.0005,0.0082,0.0,69.89,7.969999999999999,90.62,1.4500000000000002,RandomForest,4,4,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0582,0.0018,0.0034,0.0,73.0,8.98,90.62,1.4500000000000002,XGB,4,4,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1126,0.0006,0.0021,0.0001,72.95,6.65,83.6,1.72,MLP,4,4,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0,0.0019,0.0,59.74,21.77,70.02000000000001,7.37,GaussianNB,4,4,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.002,0.0001,0.0037,0.0001,69.95,12.91,75.79,2.64,KNeighbors,5,5,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0027,0.0001,0.0017,0.0,75.21,13.719999999999999,82.82000000000001,3.3099999999999996,LinearSVC,5,5,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1445,0.0004,0.0082,0.0001,72.11,14.6,91.93,1.9,RandomForest,5,5,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0575,0.0015,0.0036,0.0001,69.05,18.060000000000002,91.93,1.9,XGB,5,5,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1131,0.0003,0.0021,0.0001,75.21,13.719999999999999,85.95,2.77,MLP,5,5,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0001,0.0019,0.0001,53.32,15.6,62.79,15.22,GaussianNB,5,5,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.002,0.0001,0.0038,0.0001,70.89,4.01,79.44,2.8899999999999997,KNeighbors,6,6,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0027,0.0,0.0018,0.0,72.95,4.07,83.6,3.84,LinearSVC,6,6,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1446,0.0008,0.0082,0.0,78.21000000000001,12.280000000000001,97.92,0.72,RandomForest,6,6,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0577,0.0015,0.0038,0.0,74.05000000000001,12.540000000000001,97.92,0.72,XGB,6,6,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1146,0.0003,0.0021,0.0001,73.0,10.41,90.89,1.82,MLP,6,6,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0,0.0019,0.0,56.42,15.160000000000002,74.46000000000001,10.23,GaussianNB,6,6,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.002,0.0001,0.0037,0.0001,63.629999999999995,10.639999999999999,75.52,3.2399999999999998,KNeighbors,7,7,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0028,0.0,0.0018,0.0,62.68,11.43,79.7,4.49,LinearSVC,7,7,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1453,0.0004,0.0082,0.0001,60.58,11.68,95.30999999999999,1.51,RandomForest,7,7,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0622,0.0009,0.004,0.0001,55.37,13.780000000000001,95.30999999999999,1.51,XGB,7,7,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1151,0.0005,0.0021,0.0001,62.629999999999995,10.59,85.68,2.01,MLP,7,7,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0,0.0019,0.0,54.47,17.45,69.78,2.44,GaussianNB,7,7,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.002,0.0001,0.0037,0.0001,75.05,9.17,82.04,2.45,KNeighbors,8,8,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0028,0.0001,0.0018,0.0,73.05,9.370000000000001,90.36999999999999,2.68,LinearSVC,8,8,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1451,0.0004,0.0082,0.0001,68.78999999999999,7.16,98.96000000000001,0.58,RandomForest,8,8,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0587,0.0015,0.0041,0.0001,65.74,10.26,97.39,1.31,XGB,8,8,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1163,0.0004,0.0021,0.0,76.05,5.91,92.71000000000001,1.96,MLP,8,8,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0,0.0019,0.0,60.58,13.850000000000001,77.33,3.39,GaussianNB,8,8,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0021,0.0001,0.0038,0.0001,73.95,6.47,79.69000000000001,6.0600000000000005,KNeighbors,9,9,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0029,0.0001,0.0018,0.0,75.11,10.96,90.36999999999999,2.67,LinearSVC,9,9,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1454,0.0007,0.0083,0.0001,75.11,10.96,99.22,0.7100000000000001,RandomForest,9,9,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0585,0.0018,0.0042,0.0001,69.89,9.55,98.18,0.7100000000000001,XGB,9,9,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1165,0.0003,0.0021,0.0001,79.21000000000001,9.69,95.30999999999999,1.49,MLP,9,9,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0,0.0019,0.0,59.58,11.78,80.7,8.39,GaussianNB,9,9,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.002,0.0001,0.0038,0.0001,78.16,6.68,84.64,3.5900000000000003,KNeighbors,10,10,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.003,0.0,0.0018,0.0,75.16000000000001,14.02,93.75,2.13,LinearSVC,10,10,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1451,0.0004,0.0083,0.0001,78.21000000000001,10.459999999999999,100.0,0.0,RandomForest,10,10,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0576,0.0019,0.0045,0.0001,68.89,15.22,100.0,0.0,XGB,10,10,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.1173,0.0002,0.0021,0.0,81.32000000000001,10.71,96.61999999999999,1.97,MLP,10,10,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
0.0024,0.0,0.0019,0.0,67.78999999999999,13.8,88.56,4.78,GaussianNB,10,10,KGroups_max,gini_importance,False,0:03:38.977465,0:03:40.191803,lymphoma
