fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0035,0.0001,69.1,7.91,70.19999999999999,5.3100000000000005,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0022,0.0,0.0018,0.0,71.15,9.71,77.01,1.17,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.1441,0.0003,0.0093,0.0,72.82,11.15,77.42,0.83,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0184,0.0015,0.003,0.0001,75.77000000000001,1.05,77.42,0.83,XGB,2,2,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0811,0.0099,0.0023,0.0001,71.15,9.71,77.42,0.83,MLP,2,2,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0,0.0018,0.0,71.15,11.360000000000001,74.2,3.5700000000000003,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0001,0.0036,0.0001,79.23,11.53,85.89,1.94,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0022,0.0,0.0018,0.0,82.17999999999999,9.27,83.07,2.6599999999999997,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.1448,0.0004,0.0094,0.0001,80.64,4.36,87.9,2.02,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0207,0.0006,0.0032,0.0001,82.17999999999999,6.79,86.69,2.31,XGB,3,3,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.092,0.0003,0.0023,0.0001,83.85000000000001,10.23,85.89,1.3299999999999998,MLP,3,3,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0001,0.0018,0.0,77.56,12.82,82.25,2.23,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0001,0.0035,0.0001,85.38,7.07,89.51,1.72,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0022,0.0,0.0018,0.0,82.17999999999999,9.27,83.47,2.9499999999999997,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.1451,0.0003,0.0093,0.0,85.38,10.93,93.96,1.39,RandomForest,4,4,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0205,0.0007,0.0034,0.0001,85.38,10.93,92.75999999999999,2.2399999999999998,XGB,4,4,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0937,0.0003,0.0024,0.0,83.85000000000001,13.0,88.71,1.79,MLP,4,4,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0021,0.0001,0.0018,0.0,85.50999999999999,9.04,87.5,2.17,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0001,0.0035,0.0001,83.97,9.85,87.49,1.73,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0023,0.0,0.0018,0.0,83.72,13.29,88.71,4.6,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.1453,0.0002,0.0094,0.0,82.17999999999999,9.27,94.36,1.66,RandomForest,5,5,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0209,0.0007,0.0036,0.0001,82.17999999999999,9.27,91.93,2.45,XGB,5,5,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0951,0.0003,0.0021,0.0001,88.46000000000001,13.99,91.12,3.4000000000000004,MLP,5,5,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0,0.0018,0.0,88.59,12.73,87.9,3.74,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0001,0.0036,0.0001,83.59,16.830000000000002,89.91,2.5,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0023,0.0,0.0018,0.0,88.59,13.84,94.77,2.2800000000000002,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.1453,0.0001,0.0092,0.0005,86.92,7.670000000000001,98.39,0.8999999999999999,RandomForest,6,6,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0213,0.0007,0.0038,0.0001,83.72,10.35,96.38,1.67,XGB,6,6,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0959,0.0006,0.0024,0.0,91.79,10.209999999999999,94.35,2.1999999999999997,MLP,6,6,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0021,0.0,0.0018,0.0,87.05000000000001,12.629999999999999,86.69,4.6,GaussianNB,6,6,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0001,0.0036,0.0001,82.31,6.64,87.49,3.0,KNeighbors,7,7,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0023,0.0,0.0018,0.0,80.51,9.48,92.32000000000001,3.36,LinearSVC,7,7,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.145,0.0003,0.0091,0.0005,82.17999999999999,9.27,97.17,1.1400000000000001,RandomForest,7,7,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0227,0.001,0.0041,0.0001,80.51,12.83,94.74000000000001,2.34,XGB,7,7,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0969,0.0004,0.0024,0.0001,82.17999999999999,9.27,93.53,2.6599999999999997,MLP,7,7,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0021,0.0,0.0018,0.0,80.64,9.4,88.69,3.4799999999999995,GaussianNB,7,7,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.002,0.0001,0.0036,0.0001,86.92,13.88,91.13,1.7500000000000002,KNeighbors,8,8,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0023,0.0,0.0018,0.0,85.26,12.33,97.18,1.11,LinearSVC,8,8,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.1453,0.0003,0.0094,0.0,85.50999999999999,10.549999999999999,98.79,1.0999999999999999,RandomForest,8,8,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0224,0.0006,0.0043,0.0002,86.92,12.770000000000001,95.97,2.02,XGB,8,8,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
0.0971,0.0003,0.0024,0.0,85.26,14.879999999999999,96.37,0.91,MLP,8,8,KGroups_max++,Fvalue,False,0:03:06.046153,0:03:07.181599,colon
