fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0035,0.0001,64.0,15.17,72.5,5.0,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0023,0.0,0.0018,0.0,56.00000000000001,8.94,64.5,5.42,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.1484,0.0002,0.0093,0.0005,62.0,17.89,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.045,0.0014,0.0035,0.0003,56.00000000000001,16.73,100.0,0.0,XGB,2,2,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0906,0.0002,0.0023,0.0002,57.99999999999999,8.37,66.0,3.7900000000000005,MLP,2,2,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0022,0.0,0.0018,0.0,56.00000000000001,5.48,67.5,5.86,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.002,0.0001,0.0035,0.0001,62.0,13.04,75.5,8.55,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0023,0.0,0.0018,0.0,54.0,11.4,68.0,5.7,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.1477,0.0004,0.0094,0.0001,64.0,5.48,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.043,0.0009,0.0033,0.0001,56.00000000000001,11.4,100.0,0.0,XGB,3,3,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0922,0.0004,0.0022,0.0003,52.0,10.95,71.0,5.48,MLP,3,3,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0023,0.0001,0.0019,0.0001,54.0,5.48,77.0,3.26,GaussianNB,3,3,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0022,0.0001,0.0038,0.0001,56.00000000000001,20.74,69.5,4.47,KNeighbors,4,4,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0026,0.0,0.0019,0.0,40.0,7.07,69.5,6.710000000000001,LinearSVC,4,4,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.1509,0.0003,0.0098,0.0,60.0,12.25,100.0,0.0,RandomForest,4,4,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0461,0.0007,0.0046,0.0001,46.0,15.17,100.0,0.0,XGB,4,4,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0926,0.0002,0.0026,0.0,54.0,16.73,81.0,5.76,MLP,4,4,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0023,0.0,0.0019,0.0,54.0,11.4,77.0,4.47,GaussianNB,4,4,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0022,0.0001,0.0038,0.0001,64.0,11.4,75.0,2.5,KNeighbors,5,5,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0026,0.0,0.0019,0.0,68.0,8.37,79.0,3.7900000000000005,LinearSVC,5,5,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.1511,0.0004,0.0098,0.0001,70.0,15.809999999999999,100.0,0.0,RandomForest,5,5,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0447,0.0013,0.0048,0.0001,64.0,8.94,100.0,0.0,XGB,5,5,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0951,0.0002,0.0026,0.0,68.0,8.37,81.5,4.18,MLP,5,5,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
0.0024,0.0001,0.0019,0.0,64.0,13.420000000000002,87.5,2.5,GaussianNB,5,5,KGroups_max,Fvalue,False,0:03:21.857894,0:03:23.362347,GLIOMA
