dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,32,31,98.57,3.19,RandomForest,KGroups_max++,mutual_info,False,0:03:09.142704,0:03:10.287997
CLL_SUB_111,49,47,84.78,7.1499999999999995,RandomForest,KGroups_max++,mutual_info,False,0:04:10.504882,0:04:12.005219
Carcinom,86,81,90.79,2.47,RandomForest,KGroups_max++,mutual_info,False,0:05:50.012491,0:05:51.985268
GLIOMA,93,87,86.0,8.94,RandomForest,KGroups_max++,mutual_info,False,0:03:22.747009,0:03:23.978987
GLI_85,44,42,96.47,3.22,RandomForest,KGroups_max++,mutual_info,False,0:03:28.513644,0:03:29.787788
Prostate_GE,37,33,95.1,6.99,RandomForest,KGroups_max++,mutual_info,False,0:03:25.135250,0:03:26.403997
SMK_CAN_187,87,83,71.14,19.8,RandomForest,KGroups_max++,mutual_info,False,0:04:36.532951,0:04:38.209281
TOX_171,57,53,60.809999999999995,6.17,RandomForest,KGroups_max++,mutual_info,False,0:05:17.616963,0:05:19.461840
colon,16,16,88.46000000000001,9.56,RandomForest,KGroups_max++,mutual_info,False,0:03:10.077280,0:03:11.231737
leukemia,29,27,98.57,3.19,RandomForest,KGroups_max++,mutual_info,False,0:02:59.934122,0:03:01.021719
lung,98,91,92.62,2.96,RandomForest,KGroups_max++,mutual_info,False,0:05:17.507777,0:05:19.367204
lung_discrete,87,69,82.19,3.71,RandomForest,KGroups_max++,mutual_info,False,0:03:39.359099,0:03:40.660381
lymphoma,51,51,84.37,7.449999999999999,RandomForest,KGroups_max++,mutual_info,False,0:04:02.540810,0:04:03.971731
nci9,84,84,53.33,12.64,RandomForest,KGroups_max++,mutual_info,False,0:03:55.768848,0:03:57.141862
