dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,4,4,95.9,3.74,RandomForest,KGroups_max++,variance,False,0:02:46.078931,0:02:47.108836
CLL_SUB_111,15,11,69.41000000000001,9.66,RandomForest,KGroups_max++,variance,False,0:03:26.099161,0:03:27.373594
Carcinom,16,12,75.85,4.42,RandomForest,KGroups_max++,variance,False,0:04:19.234051,0:04:20.771313
GLIOMA,15,10,88.0,8.37,RandomForest,KGroups_max++,variance,False,0:02:56.796468,0:02:57.890861
GLI_85,7,7,92.94,6.4399999999999995,RandomForest,KGroups_max++,variance,False,0:03:00.175671,0:03:01.296657
Prostate_GE,21,17,95.1,6.99,RandomForest,KGroups_max++,variance,False,0:03:06.717327,0:03:07.890845
SMK_CAN_187,5,5,71.1,14.55,RandomForest,KGroups_max++,variance,False,0:03:34.704469,0:03:36.046900
TOX_171,3,3,58.5,7.69,RandomForest,KGroups_max++,variance,False,0:03:52.352645,0:03:53.760221
colon,8,8,83.85000000000001,11.81,RandomForest,KGroups_max++,variance,False,0:02:49.071368,0:02:50.113974
leukemia,5,5,100.0,0.0,RandomForest,KGroups_max++,variance,False,0:02:46.744557,0:02:47.772456
lung,8,8,90.17,4.9,RandomForest,KGroups_max++,variance,False,0:03:48.357887,0:03:49.763904
lung_discrete,6,6,71.05,6.75,RandomForest,KGroups_max++,variance,False,0:03:13.105460,0:03:14.264287
lymphoma,6,6,68.74,9.87,RandomForest,KGroups_max++,variance,False,0:03:26.347491,0:03:27.586783
nci9,7,7,36.67,13.94,RandomForest,KGroups_max++,variance,False,0:03:24.369294,0:03:25.544978
